group_size,count
1,17
2,47
3,63
4,100
5,133
6,143
7,155
8,167
9,152
10,172
11,159
12,131
13,123
14,84
15,88
16,62
17,48
18,39
19,33
20,20
21,13
22,12
23,11
24,4
25,6
26,3
27,2
28,2
29,1
30,1
32,1
