depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.968912,0.968918,0.968918,0.881327,0.881327,0.881327
1,2,8,0.726804,0.968918,0.968918,0.22025,0.220563,0.220634
2,4,16,0.484387,0.487529,0.490166,0.0551505,0.055968,0.0562371
3,8,32,0.361976,0.489409,0.490161,0.0137948,0.0141239,0.0142911
4,16,64,0.242373,0.246821,0.251748,0.00343687,0.00358073,0.00374767
5,32,128,0.180028,0.24626,0.251574,0.000851572,0.000919421,0.000941262
6,64,256,0.121378,0.12435,0.126743,0.000214114,0.000232525,0.000240167
7,128,512,0.0888027,0.12383,0.126388,5.24227e-05,5.9945e-05,6.28755e-05
8,256,1024,0.0597955,0.0639226,0.0672361,1.28915e-05,1.54811e-05,1.78482e-05
9,512,2048,0.0417419,0.0624958,0.0670246,3.0883e-06,3.94044e-06,5.09942e-06
10,1024,4096,0.0289897,0.0328789,0.0363435,6.96407e-07,1.00758e-06,1.36778e-06
11,2048,8192,0.0196418,0.0308643,0.0351235,1.45532e-07,2.46331e-07,3.93295e-07
12,4096,16384,0.0125669,0.0164635,0.0203907,2.37718e-08,5.30059e-08,1.0026e-07
13,8192,32768,0.00690359,0.0132752,0.0183155,2.05905e-09,8.7995e-09,2.16001e-08
14,16384,65536,0.00200289,0.00563705,0.00968849,1.05106e-11,3.14026e-10,2.32914e-09
15,17233,68932,0,0,0,0,0,0
