depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.71655,0.717079,0.717079,0.0355726,0.0355726,0.0355726
1,2,20,0.715165,0.716926,0.716979,0.00878176,0.00885364,0.00886981
2,4,40,0.713592,0.715821,0.716979,0.00216978,0.00225288,0.00226243
3,8,80,0.362619,0.714023,0.716619,0.00051033,0.000574924,0.000592202
4,16,160,0.354977,0.706633,0.713379,0.000116047,0.000139984,0.000143535
5,32,320,0.345861,0.365224,0.403928,2.43241e-05,3.26487e-05,4.06738e-05
6,64,640,0.329358,0.357756,0.396108,4.25704e-06,6.60297e-06,9.53833e-06
7,128,1280,0.28109,0.342767,0.376958,4.8307e-07,1.08492e-06,1.6591e-06
8,256,2560,0.162554,0.30562,0.355837,2.00399e-08,7.74677e-08,3.08668e-07
9,512,5120,0.092896,0.183284,0.312719,2.13184e-11,4.83154e-10,6.07345e-09
10,977,9770,0,0,0,0,0,0
