group_size,count
13,1
18,2
19,1
20,1
21,4
23,5
24,2
25,2
26,3
27,2
28,3
29,9
30,2
31,7
32,9
33,5
34,12
35,7
36,7
37,5
38,9
39,12
40,12
41,9
42,10
43,17
44,9
45,6
46,9
47,16
48,18
49,13
50,18
51,16
52,19
53,24
54,15
55,17
56,20
57,19
58,23
59,20
60,16
61,20
62,25
63,22
64,18
65,26
66,18
67,20
68,15
69,14
70,11
71,16
72,23
73,19
74,22
75,26
76,15
77,17
78,26
79,29
80,16
81,24
82,14
83,24
84,13
85,18
86,24
87,15
88,15
89,21
90,14
91,17
92,14
93,17
94,18
95,23
96,16
97,8
98,14
99,13
100,17
101,18
102,18
103,16
104,13
105,17
106,17
107,11
108,16
109,13
110,14
111,15
112,13
113,15
114,18
115,18
116,13
117,11
118,8
119,10
120,17
121,18
122,10
123,12
124,9
125,12
126,10
127,9
128,7
129,6
130,7
131,14
132,5
133,6
134,5
135,7
136,6
137,9
138,14
139,14
140,6
141,12
142,5
143,3
144,8
145,3
146,3
147,6
148,6
149,4
150,6
151,3
152,3
153,6
154,6
155,2
156,7
157,4
158,6
159,5
160,8
161,2
162,7
163,4
164,3
165,6
166,6
167,8
168,4
169,7
170,2
171,6
172,6
173,2
174,2
175,3
176,3
177,4
178,2
179,4
180,5
181,1
182,3
183,7
184,6
185,2
186,4
187,2
188,5
189,1
190,5
191,4
192,5
193,3
194,1
195,1
196,4
197,1
198,1
199,1
200,2
201,1
202,3
203,1
204,1
206,1
207,2
208,1
210,4
211,4
212,5
213,1
214,2
215,1
216,2
217,3
218,1
219,2
220,3
221,2
222,2
223,1
224,2
225,3
226,1
227,3
229,1
230,1
231,1
232,4
233,2
234,1
235,1
239,1
240,1
241,2
242,1
243,1
245,1
246,2
247,1
248,1
250,1
252,1
253,1
256,1
267,1
268,1
269,1
272,1
274,1
275,3
276,1
278,1
281,1
283,1
284,1
285,1
288,2
289,1
293,1
295,1
304,1
327,1
