group_size,count
470,1
471,2
472,3
474,1
478,1
479,1
480,1
481,5
483,1
484,2
485,2
486,4
487,1
488,1
489,4
490,2
491,2
492,3
493,3
494,2
495,3
496,1
497,1
498,3
499,4
500,8
501,3
502,5
503,6
504,5
505,6
506,4
507,4
508,2
509,7
510,4
511,5
512,4
513,6
514,9
515,3
516,2
517,6
518,8
519,8
520,3
521,5
522,5
523,4
524,3
525,5
526,3
527,1
528,2
529,5
530,10
531,6
532,7
533,7
534,2
535,4
536,5
537,5
538,4
539,5
540,5
541,5
542,4
543,4
544,2
545,2
546,3
547,2
548,2
549,3
550,2
551,3
552,4
553,3
554,2
555,3
557,1
558,1
559,1
560,1
561,1
563,2
564,1
573,3
576,1
577,1
579,1
581,1
589,1
957,1
984,1
988,1
1001,1
1010,1
1012,1
1015,1
1018,1
1019,1
1021,2
1026,1
1030,1
1035,1
1036,1
1039,1
1041,1
1051,1
1053,1
1056,1
1062,1
1063,1
1064,2
1070,1
1071,1
1074,1
1075,1
1085,1
1086,1
1089,1
1092,1
1101,1
1616,1
