depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.975455,0.97699,0.97699,0.863328,0.863328,0.863328
1,2,12,0.975002,0.976748,0.976752,0.215085,0.216886,0.217291
2,4,24,0.492877,0.976679,0.976752,0.0523193,0.0568215,0.058071
3,8,48,0.484441,0.504007,0.513053,0.0129156,0.0143097,0.0145577
4,16,96,0.467185,0.500301,0.51165,0.00311086,0.00346148,0.00353388
5,32,192,0.247333,0.479213,0.492303,0.000691916,0.000857932,0.000964797
6,64,384,0.228617,0.256053,0.278812,0.00014228,0.000197779,0.000271894
7,128,768,0.192311,0.243765,0.270524,2.07756e-05,4.21521e-05,6.9404e-05
8,256,1536,0.107852,0.202153,0.248852,1.9784e-06,6.56251e-06,1.55364e-05
9,512,3072,0.0564441,0.105639,0.148337,1.93386e-08,2.7783e-07,1.17029e-06
10,977,5862,0,0,0,0,0,0
