group_size,count
434,2
435,1
440,1
441,1
443,1
444,1
445,1
448,1
449,1
450,1
451,2
453,2
454,1
455,1
456,1
457,2
458,1
459,1
460,6
462,5
463,2
465,2
466,1
467,4
468,5
469,1
470,3
471,4
472,6
473,4
474,6
475,4
476,5
477,2
478,5
479,4
480,11
481,6
482,2
483,5
484,7
485,9
486,4
487,6
488,7
489,3
490,4
491,7
492,2
493,7
494,7
495,3
496,8
497,5
498,9
499,4
500,4
501,1
502,6
503,4
504,6
505,4
506,6
507,4
508,7
509,2
511,5
512,3
513,4
514,4
515,5
516,3
517,2
518,2
519,2
520,4
521,1
522,1
523,4
524,1
525,2
526,1
527,1
528,3
529,4
530,1
531,6
533,1
536,1
538,1
541,1
542,1
546,1
548,1
552,1
554,1
927,1
934,2
935,1
939,1
940,1
951,1
956,1
961,1
965,1
966,2
971,1
973,2
975,1
978,2
985,2
986,1
988,1
991,1
992,2
995,1
996,1
997,1
998,1
1004,1
1005,1
1007,1
1020,1
1021,1
1022,1
1024,1
1034,1
1063,1
1373,1
1439,1
1492,1
1493,1
