group_size,count
430,1
439,1
440,1
441,1
444,1
445,2
448,1
449,3
450,1
454,2
455,3
456,1
457,2
458,1
460,1
462,4
463,1
464,3
465,2
466,5
467,8
468,2
469,3
470,5
471,1
472,5
473,3
474,5
475,4
476,5
477,1
478,5
479,1
480,1
481,7
482,5
483,10
484,8
485,2
486,10
487,8
488,3
489,4
490,10
491,7
492,5
493,5
494,9
495,8
496,5
497,6
498,6
499,1
500,5
501,5
502,6
503,7
504,6
505,4
506,5
507,4
508,4
509,5
510,8
511,4
512,4
513,9
514,1
515,3
516,4
517,6
518,3
519,1
521,1
522,2
524,2
525,1
526,2
527,1
528,2
529,1
530,2
531,2
532,3
533,2
535,2
536,3
537,1
538,2
539,2
540,1
541,1
543,1
544,1
548,2
549,1
550,2
553,1
555,1
560,1
569,1
939,1
941,1
944,1
956,1
961,1
969,1
972,1
975,1
976,1
980,1
981,1
985,2
986,1
989,1
991,1
994,1
995,1
998,1
1006,1
1007,1
1016,1
1025,2
1030,1
1034,1
1045,1
1047,1
1052,1
1537,1
