depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.994562,0.997354,0.997432,0.978551,0.978551,0.978551
1,2,8,0.748461,0.99187,0.991962,0.244627,0.249559,0.250669
2,4,16,0.496292,0.516798,0.527939,0.0589511,0.0667665,0.0690484
3,8,32,0.367977,0.517201,0.527888,0.0146412,0.0177538,0.0180685
4,16,64,0.243388,0.259301,0.284954,0.00335192,0.00477087,0.00507721
5,32,128,0.186094,0.256198,0.283717,0.000818484,0.00115177,0.00141535
6,64,256,0.117091,0.134177,0.147881,0.000182,0.000269747,0.000401817
7,128,512,0.0750349,0.123724,0.145064,3.28519e-05,6.34435e-05,0.000105969
8,256,1024,0.0447346,0.0657295,0.0862289,3.77451e-06,1.2539e-05,2.82086e-05
9,512,2048,0.0195217,0.0431563,0.0759594,1.14654e-07,9.35632e-07,4.00115e-06
10,977,3908,0,0,0,0,0,0
