run_id,network,dim,N,alpha_target,t,family,rep,dataset_seed,sample_seed,materialize_join
correctness_d5_N2000_a10_t200000_F0_rep0,correctness,5,2000,10.0,200000,F0,0,1899445740430301339,7714124073554416814,1
correctness_d5_N2000_a100_t200000_F0_rep0,correctness,5,2000,100.0,200000,F0,0,6915162610231181036,6601399205357114935,1
density_d5_N50000_a0p1_t200000_F0_rep0,density,5,50000,0.1,200000,F0,0,359756867778118881,3203928327723892709,0
density_d5_N50000_a1_t200000_F0_rep0,density,5,50000,1.0,200000,F0,0,7272453942524958097,3229094453726512474,0
density_d5_N50000_a10_t200000_F0_rep0,density,5,50000,10.0,200000,F0,0,4567401982941187294,7385706682386105838,0
density_d5_N50000_a100_t200000_F0_rep0,density,5,50000,100.0,200000,F0,0,4670166437274911582,9009771007873277298,0
input_size_d5_N10000_a10_t200000_F0_rep0,input_size,5,10000,10.0,200000,F0,0,8057066383461871294,1561515846779173301,0
input_size_d5_N50000_a10_t200000_F0_rep0,input_size,5,50000,10.0,200000,F0,0,4567401982941187294,6352776916334029175,0
input_size_d5_N100000_a10_t200000_F0_rep0,input_size,5,100000,10.0,200000,F0,0,2244858693265439070,4177403607061849708,0
sample_size_d5_N50000_a10_t10000_F0_rep0,sample_size,5,50000,10.0,10000,F0,0,4567401982941187294,8147078670416785248,0
sample_size_d5_N50000_a10_t50000_F0_rep0,sample_size,5,50000,10.0,50000,F0,0,4567401982941187294,5325819584142190703,0
sample_size_d5_N50000_a10_t200000_F0_rep0,sample_size,5,50000,10.0,200000,F0,0,4567401982941187294,237779628917308262,0
sample_size_d5_N50000_a10_t1000000_F0_rep0,sample_size,5,50000,10.0,1000000,F0,0,4567401982941187294,4288856903131372562,0
density_d5_N50000_a0p1_t200000_F0_rep1,density,5,50000,0.1,200000,F0,1,6444796627097552709,152146225863581469,0
density_d5_N50000_a1_t200000_F0_rep1,density,5,50000,1.0,200000,F0,1,7404744494698046001,4656905595417935658,0
density_d5_N50000_a10_t200000_F0_rep1,density,5,50000,10.0,200000,F0,1,8149170027620947213,4138165976809992212,0
density_d5_N50000_a100_t200000_F0_rep1,density,5,50000,100.0,200000,F0,1,6159986753092892650,3860536999326393961,0
input_size_d5_N10000_a10_t200000_F0_rep1,input_size,5,10000,10.0,200000,F0,1,2274108520223734069,3215663143560020421,0
input_size_d5_N50000_a10_t200000_F0_rep1,input_size,5,50000,10.0,200000,F0,1,8149170027620947213,6898925426195883130,0
input_size_d5_N100000_a10_t200000_F0_rep1,input_size,5,100000,10.0,200000,F0,1,135006852386197316,8737368783689814452,0
sample_size_d5_N50000_a10_t10000_F0_rep1,sample_size,5,50000,10.0,10000,F0,1,8149170027620947213,5464846181008187366,0
sample_size_d5_N50000_a10_t50000_F0_rep1,sample_size,5,50000,10.0,50000,F0,1,8149170027620947213,3287636598777075645,0
sample_size_d5_N50000_a10_t200000_F0_rep1,sample_size,5,50000,10.0,200000,F0,1,8149170027620947213,1605569516667682156,0
sample_size_d5_N50000_a10_t1000000_F0_rep1,sample_size,5,50000,10.0,1000000,F0,1,8149170027620947213,3507289558207461854,0
density_d5_N50000_a0p1_t200000_F0_rep2,density,5,50000,0.1,200000,F0,2,8003551767158391875,2448895968698039809,0
density_d5_N50000_a1_t200000_F0_rep2,density,5,50000,1.0,200000,F0,2,6207283550601566976,4470369453642368724,0
density_d5_N50000_a10_t200000_F0_rep2,density,5,50000,10.0,200000,F0,2,6052607323290977195,638523310367206246,0
density_d5_N50000_a100_t200000_F0_rep2,density,5,50000,100.0,200000,F0,2,2510261661253123712,7767610094413158116,0
input_size_d5_N10000_a10_t200000_F0_rep2,input_size,5,10000,10.0,200000,F0,2,6309111543203354293,199805978718559658,0
input_size_d5_N50000_a10_t200000_F0_rep2,input_size,5,50000,10.0,200000,F0,2,6052607323290977195,5022656613593018211,0
input_size_d5_N100000_a10_t200000_F0_rep2,input_size,5,100000,10.0,200000,F0,2,8260845602612497567,7700863423689337904,0
sample_size_d5_N50000_a10_t10000_F0_rep2,sample_size,5,50000,10.0,10000,F0,2,6052607323290977195,1988608263533328312,0
sample_size_d5_N50000_a10_t50000_F0_rep2,sample_size,5,50000,10.0,50000,F0,2,6052607323290977195,6066125698902126683,0
sample_size_d5_N50000_a10_t200000_F0_rep2,sample_size,5,50000,10.0,200000,F0,2,6052607323290977195,2243288734916258267,0
sample_size_d5_N50000_a10_t1000000_F0_rep2,sample_size,5,50000,10.0,1000000,F0,2,6052607323290977195,3326491977464145192,0
correctness_d5_N2000_a0p1_t200000_F1_rep0,correctness,5,2000,0.1,200000,F1,0,1488176479837678881,179145655295110519,1
correctness_d5_N2000_a10_t200000_F1_rep0,correctness,5,2000,10.0,200000,F1,0,5109491529791594668,4996691798028951703,1
correctness_d5_N2000_a100_t200000_F1_rep0,correctness,5,2000,100.0,200000,F1,0,4128263766131124810,5682976540233286803,1
density_d5_N50000_a0p1_t200000_F1_rep0,density,5,50000,0.1,200000,F1,0,667458207055429700,7425587964193840403,0
density_d5_N50000_a1_t200000_F1_rep0,density,5,50000,1.0,200000,F1,0,4554307625181950602,5812729934032841022,0
density_d5_N50000_a10_t200000_F1_rep0,density,5,50000,10.0,200000,F1,0,8846783507879952607,7392393795974777564,0
density_d5_N50000_a100_t200000_F1_rep0,density,5,50000,100.0,200000,F1,0,1766290116893361730,5692314023116959339,0
input_size_d5_N10000_a10_t200000_F1_rep0,input_size,5,10000,10.0,200000,F1,0,8996073969702094894,6141422692989698170,0
input_size_d5_N50000_a10_t200000_F1_rep0,input_size,5,50000,10.0,200000,F1,0,8846783507879952607,4097782121497508542,0
input_size_d5_N100000_a10_t200000_F1_rep0,input_size,5,100000,10.0,200000,F1,0,3590521423049990063,4729942047510348347,0
sample_size_d5_N50000_a10_t10000_F1_rep0,sample_size,5,50000,10.0,10000,F1,0,8846783507879952607,3434275302403938567,0
sample_size_d5_N50000_a10_t50000_F1_rep0,sample_size,5,50000,10.0,50000,F1,0,8846783507879952607,3950028182953848525,0
sample_size_d5_N50000_a10_t200000_F1_rep0,sample_size,5,50000,10.0,200000,F1,0,8846783507879952607,844986248759837308,0
sample_size_d5_N50000_a10_t1000000_F1_rep0,sample_size,5,50000,10.0,1000000,F1,0,8846783507879952607,7353957888395159141,0
density_d5_N50000_a0p1_t200000_F1_rep1,density,5,50000,0.1,200000,F1,1,6666222940557528098,7402589819036224250,0
density_d5_N50000_a1_t200000_F1_rep1,density,5,50000,1.0,200000,F1,1,3179949091532828379,1662755917788499885,0
density_d5_N50000_a10_t200000_F1_rep1,density,5,50000,10.0,200000,F1,1,2730243928193741212,2411862612022387061,0
density_d5_N50000_a100_t200000_F1_rep1,density,5,50000,100.0,200000,F1,1,4910025931859188582,8122716183968203215,0
input_size_d5_N10000_a10_t200000_F1_rep1,input_size,5,10000,10.0,200000,F1,1,643082160212834369,2529451785021243684,0
input_size_d5_N50000_a10_t200000_F1_rep1,input_size,5,50000,10.0,200000,F1,1,2730243928193741212,4019410019014544389,0
input_size_d5_N100000_a10_t200000_F1_rep1,input_size,5,100000,10.0,200000,F1,1,3690765358686244542,4235381159873126051,0
sample_size_d5_N50000_a10_t10000_F1_rep1,sample_size,5,50000,10.0,10000,F1,1,2730243928193741212,7582064148644379839,0
sample_size_d5_N50000_a10_t50000_F1_rep1,sample_size,5,50000,10.0,50000,F1,1,2730243928193741212,7723754923024589268,0
sample_size_d5_N50000_a10_t200000_F1_rep1,sample_size,5,50000,10.0,200000,F1,1,2730243928193741212,866614287605571397,0
sample_size_d5_N50000_a10_t1000000_F1_rep1,sample_size,5,50000,10.0,1000000,F1,1,2730243928193741212,5083889252194501862,0
density_d5_N50000_a0p1_t200000_F1_rep2,density,5,50000,0.1,200000,F1,2,7564918527334470825,5924764008158999795,0
density_d5_N50000_a1_t200000_F1_rep2,density,5,50000,1.0,200000,F1,2,3547475443668975909,5738317917691292565,0
density_d5_N50000_a10_t200000_F1_rep2,density,5,50000,10.0,200000,F1,2,2470551856250364118,7818365176167983534,0
density_d5_N50000_a100_t200000_F1_rep2,density,5,50000,100.0,200000,F1,2,6628418468583962100,8974051755072703606,0
input_size_d5_N10000_a10_t200000_F1_rep2,input_size,5,10000,10.0,200000,F1,2,5630963827160069298,3740174068665177700,0
input_size_d5_N50000_a10_t200000_F1_rep2,input_size,5,50000,10.0,200000,F1,2,2470551856250364118,737349335790431450,0
input_size_d5_N100000_a10_t200000_F1_rep2,input_size,5,100000,10.0,200000,F1,2,9098904074405453556,3293999191817283651,0
sample_size_d5_N50000_a10_t10000_F1_rep2,sample_size,5,50000,10.0,10000,F1,2,2470551856250364118,7578690106251664375,0
sample_size_d5_N50000_a10_t50000_F1_rep2,sample_size,5,50000,10.0,50000,F1,2,2470551856250364118,5278354587281872870,0
sample_size_d5_N50000_a10_t200000_F1_rep2,sample_size,5,50000,10.0,200000,F1,2,2470551856250364118,1148665792122577745,0
sample_size_d5_N50000_a10_t1000000_F1_rep2,sample_size,5,50000,10.0,1000000,F1,2,2470551856250364118,3040301616031468720,0
chunk_d2_N20000_a10_t500000_F0_rep0,chunk,2,20000,10.0,500000,F0,0,777935236701478545,2406874663406222159,0
chunk_d2_N20000_a10_t2000000_F0_rep0,chunk,2,20000,10.0,2000000,F0,0,777935236701478545,8719879805786544697,0
chunk_d2_N20000_a10_t3000000_F0_rep0,chunk,2,20000,10.0,3000000,F0,0,777935236701478545,2330212526518123965,0
chunk_d2_N20000_a10_t500000_F0_rep1,chunk,2,20000,10.0,500000,F0,1,5236032274924041192,512646757051707348,0
chunk_d2_N20000_a10_t2000000_F0_rep1,chunk,2,20000,10.0,2000000,F0,1,5236032274924041192,3528710120305765694,0
chunk_d2_N20000_a10_t3000000_F0_rep1,chunk,2,20000,10.0,3000000,F0,1,5236032274924041192,1879435794506137152,0
chunk_d2_N20000_a10_t500000_F1_rep0,chunk,2,20000,10.0,500000,F1,0,2505024261278569413,7929540973095111494,0
chunk_d2_N20000_a10_t2000000_F1_rep0,chunk,2,20000,10.0,2000000,F1,0,2505024261278569413,7536460693521727443,0
chunk_d2_N20000_a10_t3000000_F1_rep0,chunk,2,20000,10.0,3000000,F1,0,2505024261278569413,4482171325335661221,0
chunk_d2_N20000_a10_t500000_F1_rep1,chunk,2,20000,10.0,500000,F1,1,7347284405411705395,2555461452557583966,0
chunk_d2_N20000_a10_t2000000_F1_rep1,chunk,2,20000,10.0,2000000,F1,1,7347284405411705395,4139516061524474860,0
chunk_d2_N20000_a10_t3000000_F1_rep1,chunk,2,20000,10.0,3000000,F1,1,7347284405411705395,195362369508830149,0
chunk_d5_N20000_a10_t500000_F0_rep0,chunk,5,20000,10.0,500000,F0,0,7185918702965174991,2149214606738946704,0
chunk_d5_N20000_a10_t2000000_F0_rep0,chunk,5,20000,10.0,2000000,F0,0,7185918702965174991,5573173499396670595,0
chunk_d5_N20000_a10_t3000000_F0_rep0,chunk,5,20000,10.0,3000000,F0,0,7185918702965174991,1588538229703723583,0
chunk_d5_N20000_a10_t500000_F0_rep1,chunk,5,20000,10.0,500000,F0,1,1801635535503793811,5032097012949699427,0
chunk_d5_N20000_a10_t2000000_F0_rep1,chunk,5,20000,10.0,2000000,F0,1,1801635535503793811,1026664438408543360,0
chunk_d5_N20000_a10_t3000000_F0_rep1,chunk,5,20000,10.0,3000000,F0,1,1801635535503793811,7657238363190709040,0
chunk_d5_N20000_a10_t500000_F1_rep0,chunk,5,20000,10.0,500000,F1,0,3424552076045590175,107668026512863928,0
chunk_d5_N20000_a10_t2000000_F1_rep0,chunk,5,20000,10.0,2000000,F1,0,3424552076045590175,2168127728451390133,0
chunk_d5_N20000_a10_t3000000_F1_rep0,chunk,5,20000,10.0,3000000,F1,0,3424552076045590175,775228917038917810,0
chunk_d5_N20000_a10_t500000_F1_rep1,chunk,5,20000,10.0,500000,F1,1,7823307699375581427,8091651176965316460,0
chunk_d5_N20000_a10_t2000000_F1_rep1,chunk,5,20000,10.0,2000000,F1,1,7823307699375581427,3505922976473805306,0
chunk_d5_N20000_a10_t3000000_F1_rep1,chunk,5,20000,10.0,3000000,F1,1,7823307699375581427,7981141275658570025,0
