run_id,network,dim,N,alpha_target,t,family,rep,dataset_seed,sample_seed,materialize_join
sample_size_d2_N50000_a10_t1000000_F1_rep0,sample_size,2,50000,10.0,1000000,F1,0,6213477347973993530,3405005853714447910,0
density_d2_N50000_a0p1_t200000_F1_rep1,density,2,50000,0.1,200000,F1,1,7698324630640584032,3727930703227939859,0
density_d2_N50000_a1_t200000_F1_rep1,density,2,50000,1.0,200000,F1,1,7598685663593554139,3014479219872996366,0
density_d2_N50000_a10_t200000_F1_rep1,density,2,50000,10.0,200000,F1,1,63624610085773717,4130322932234167817,0
density_d2_N50000_a100_t200000_F1_rep1,density,2,50000,100.0,200000,F1,1,3599321873196632873,3312972779629379294,0
input_size_d2_N10000_a10_t200000_F1_rep1,input_size,2,10000,10.0,200000,F1,1,8486490389824562675,1366946595181865614,0
input_size_d2_N50000_a10_t200000_F1_rep1,input_size,2,50000,10.0,200000,F1,1,63624610085773717,6865804024181778456,0
input_size_d2_N100000_a10_t200000_F1_rep1,input_size,2,100000,10.0,200000,F1,1,1054882870132364714,4887318583193730111,0
sample_size_d2_N50000_a10_t10000_F1_rep1,sample_size,2,50000,10.0,10000,F1,1,63624610085773717,6731087551336148240,0
sample_size_d2_N50000_a10_t50000_F1_rep1,sample_size,2,50000,10.0,50000,F1,1,63624610085773717,3299712431599079394,0
sample_size_d2_N50000_a10_t200000_F1_rep1,sample_size,2,50000,10.0,200000,F1,1,63624610085773717,209180556960493742,0
sample_size_d2_N50000_a10_t1000000_F1_rep1,sample_size,2,50000,10.0,1000000,F1,1,63624610085773717,5126552080621827815,0
density_d2_N50000_a0p1_t200000_F1_rep2,density,2,50000,0.1,200000,F1,2,3388805924232204818,5413011361984883809,0
density_d2_N50000_a1_t200000_F1_rep2,density,2,50000,1.0,200000,F1,2,4990604468133593537,7474361663332262467,0
density_d2_N50000_a10_t200000_F1_rep2,density,2,50000,10.0,200000,F1,2,8423651988732252339,5727426879034210482,0
density_d2_N50000_a100_t200000_F1_rep2,density,2,50000,100.0,200000,F1,2,3145495542290864533,3880271512045373127,0
input_size_d2_N10000_a10_t200000_F1_rep2,input_size,2,10000,10.0,200000,F1,2,6437576075916539948,7671882258717852588,0
input_size_d2_N50000_a10_t200000_F1_rep2,input_size,2,50000,10.0,200000,F1,2,8423651988732252339,8682861154750440662,0
input_size_d2_N100000_a10_t200000_F1_rep2,input_size,2,100000,10.0,200000,F1,2,3997150806777776250,8509400406015646276,0
sample_size_d2_N50000_a10_t10000_F1_rep2,sample_size,2,50000,10.0,10000,F1,2,8423651988732252339,3818090899807784047,0
sample_size_d2_N50000_a10_t50000_F1_rep2,sample_size,2,50000,10.0,50000,F1,2,8423651988732252339,5980641792147015656,0
sample_size_d2_N50000_a10_t200000_F1_rep2,sample_size,2,50000,10.0,200000,F1,2,8423651988732252339,2972430270916072092,0
sample_size_d2_N50000_a10_t1000000_F1_rep2,sample_size,2,50000,10.0,1000000,F1,2,8423651988732252339,1867342279605882506,0
correctness_d3_N2000_a0p1_t200000_F0_rep0,correctness,3,2000,0.1,200000,F0,0,9220218835035472398,479756644277467084,1
correctness_d3_N2000_a10_t200000_F0_rep0,correctness,3,2000,10.0,200000,F0,0,8083033965162963308,9056425418553097052,1
correctness_d3_N2000_a100_t200000_F0_rep0,correctness,3,2000,100.0,200000,F0,0,7098718085173339112,5804877713192394987,1
density_d3_N50000_a0p1_t200000_F0_rep0,density,3,50000,0.1,200000,F0,0,2895405615267671851,2873277279278687214,0
density_d3_N50000_a1_t200000_F0_rep0,density,3,50000,1.0,200000,F0,0,1303496104892539119,5975441365389070110,0
density_d3_N50000_a10_t200000_F0_rep0,density,3,50000,10.0,200000,F0,0,8640121631729594782,4815151237542228477,0
density_d3_N50000_a100_t200000_F0_rep0,density,3,50000,100.0,200000,F0,0,7349322849267396293,432456252055852607,0
input_size_d3_N10000_a10_t200000_F0_rep0,input_size,3,10000,10.0,200000,F0,0,4389752488492589570,8433914701724933026,0
input_size_d3_N50000_a10_t200000_F0_rep0,input_size,3,50000,10.0,200000,F0,0,8640121631729594782,8662137120571595188,0
input_size_d3_N100000_a10_t200000_F0_rep0,input_size,3,100000,10.0,200000,F0,0,1132718041656530860,1996886441882876326,0
