depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.979317,0.981707,0.982395,0.91152,0.91152,0.91152
1,2,8,0.76801,0.973759,0.977795,0.248506,0.250131,0.250497
2,4,16,0.506031,0.569122,0.588131,0.0677429,0.0708147,0.0719866
3,8,32,0.415499,0.519227,0.582021,0.0208719,0.0264817,0.0266568
4,16,64,0.261456,0.326438,0.37382,0.00502247,0.00755078,0.00934031
5,32,128,0.224432,0.272868,0.3278,0.00145734,0.00291293,0.00488054
6,64,256,0.135986,0.194083,0.243707,0.000383343,0.000696045,0.00140286
7,128,512,0.102621,0.152054,0.207315,9.14262e-05,0.000185414,0.000293236
8,256,1024,0.059801,0.0999766,0.153938,1.3016e-05,3.17567e-05,7.59454e-05
9,512,2048,0.0281068,0.0646225,0.116828,4.42779e-07,3.35351e-06,1.43864e-05
10,977,3908,0,0,0,0,0,0
