depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.998666,0.999016,0.99908,0.994854,0.994854,0.994854
1,2,8,0.754826,0.998902,0.999038,0.250947,0.254766,0.255625
2,4,16,0.500855,0.508774,0.510901,0.0628445,0.0646758,0.0651127
3,8,32,0.380479,0.502255,0.50791,0.015909,0.0166144,0.0175498
4,16,64,0.252453,0.258311,0.263693,0.00399968,0.0042999,0.00449705
5,32,128,0.189569,0.256541,0.262143,0.00101157,0.00113588,0.00118269
6,64,256,0.125963,0.132388,0.139106,0.000254409,0.000293609,0.00031067
7,128,512,0.0944728,0.12966,0.136137,6.49569e-05,7.5068e-05,8.69588e-05
8,256,1024,0.0631482,0.0684597,0.074598,1.60213e-05,2.00417e-05,2.33221e-05
9,512,2048,0.0492912,0.0658153,0.0719231,3.99718e-06,5.3782e-06,6.75847e-06
10,1024,4096,0.0310543,0.0359793,0.040636,9.37232e-07,1.36568e-06,1.85417e-06
11,2048,8192,0.0220276,0.0329551,0.038163,2.06549e-07,3.42775e-07,4.98197e-07
12,4096,16384,0.0136841,0.0183693,0.0230746,3.40274e-08,7.63197e-08,1.32249e-07
13,8192,32768,0.00785477,0.0143283,0.0200119,3.38974e-09,1.26955e-08,3.09179e-08
14,16384,65536,0.00243121,0.00653416,0.0111901,1.74383e-11,4.20604e-10,3.11741e-09
15,17233,68932,0,0,0,0,0,0
