depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.982464,0.984639,0.985106,0.82669,0.82669,0.82669
1,2,20,0.976025,0.983176,0.985049,0.302354,0.342336,0.351332
2,4,40,0.965819,0.982175,0.984933,0.104889,0.137192,0.149008
3,8,80,0.956604,0.976637,0.983469,0.0384003,0.0514147,0.0641735
4,16,160,0.548021,0.96494,0.982239,0.0131723,0.0186776,0.0259001
5,32,320,0.532849,0.957164,0.967281,0.00444043,0.00805771,0.0090762
6,64,640,0.517644,0.933122,0.961551,0.00139793,0.00285886,0.00447959
7,128,1280,0.487387,0.83416,0.954467,0.000425122,0.000963191,0.00243125
8,256,2560,0.419723,0.635705,0.921066,0.000125114,0.000271248,0.000628848
9,512,5120,0.323584,0.520904,0.813616,2.48686e-05,6.21183e-05,0.00013515
10,1024,10240,0.273819,0.422018,0.602033,3.19929e-06,8.64267e-06,2.01554e-05
11,2048,20480,0.21891,0.346949,0.545235,2.03027e-07,7.83832e-07,2.24953e-06
12,4096,40960,0.138043,0.259321,0.449223,1.46468e-09,1.46763e-08,8.78321e-08
13,8192,81920,0,0.121009,0.269859,0,1.8731e-12,1.26391e-10
14,3617,36170,0,0,0,0,0,0
