group_size,count
1,40
2,74
3,105
4,119
5,162
6,208
7,262
8,261
9,313
10,325
11,382
12,382
13,355
14,402
15,374
16,402
17,417
18,383
19,374
20,358
21,397
22,331
23,317
24,287
25,269
26,261
27,238
28,238
29,191
30,167
31,187
32,169
33,136
34,124
35,107
36,109
37,91
38,80
39,83
40,63
41,52
42,44
43,49
44,33
45,34
46,29
47,29
48,17
49,22
50,10
51,13
52,15
53,12
54,12
55,13
56,5
57,10
58,6
59,4
60,4
61,5
62,2
63,5
64,2
66,2
69,1
70,1
72,2
73,1
75,1
80,1
83,1
90,1
