group_size,count
1,166
2,274
3,408
4,571
5,756
6,978
7,1137
8,1267
9,1391
10,1611
11,1664
12,1755
13,1913
14,1960
15,2091
16,2026
17,2054
18,2060
19,2026
20,1958
21,1911
22,1830
23,1764
24,1707
25,1453
26,1390
27,1314
28,1181
29,1121
30,966
31,904
32,788
33,733
34,630
35,556
36,528
37,412
38,355
39,285
40,275
41,226
42,231
43,177
44,151
45,121
46,126
47,105
48,71
49,65
50,70
51,64
52,46
53,40
54,44
55,30
56,18
57,22
58,20
59,14
60,12
61,11
62,7
63,10
64,5
65,5
66,4
67,7
68,4
69,2
70,4
71,3
72,3
73,3
75,1
77,2
79,2
81,1
84,2
85,1
87,2
95,1
