depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.987892,0.99021,0.991049,0.879423,0.879423,0.879423
1,2,20,0.985751,0.989377,0.990946,0.325684,0.377745,0.389459
2,4,40,0.981193,0.988054,0.989899,0.114846,0.157847,0.17428
3,8,80,0.976319,0.987162,0.989687,0.0427808,0.0599426,0.077134
4,16,160,0.536767,0.981746,0.989083,0.0146787,0.0226982,0.0338965
5,32,320,0.531257,0.973974,0.984352,0.00521063,0.00957329,0.0138173
6,64,640,0.524132,0.948801,0.980473,0.00173918,0.00399803,0.00746088
7,128,1280,0.511843,0.874258,0.971899,0.000526468,0.00158414,0.00390917
8,256,2560,0.446224,0.676994,0.956107,0.000185839,0.000555789,0.00131927
9,512,5120,0.328817,0.571183,0.879217,5.14495e-05,0.000150874,0.000478375
10,1024,10240,0.293426,0.48362,0.64991,1.2213e-05,3.63688e-05,8.17093e-05
11,2048,20480,0.275822,0.433317,0.610198,2.55369e-06,7.27431e-06,2.12556e-05
12,4096,40960,0.241538,0.366548,0.548282,3.73786e-07,1.16841e-06,3.49183e-06
13,8192,81920,0.183867,0.290291,0.471976,3.06807e-08,1.11119e-07,3.70913e-07
14,16384,163840,0.11914,0.223405,0.377055,5.23293e-10,3.65992e-09,1.65176e-08
15,32768,327680,0.0466254,0.126898,0.250722,5.73023e-15,9.97197e-13,4.33115e-11
16,34465,344650,0,0,0,0,0,0
