depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.998983,0.998988,0.998988,0.99594,0.99594,0.99594
1,2,8,0.749697,0.99893,0.99893,0.248919,0.249751,0.249938
2,4,16,0.499459,0.500896,0.501116,0.0621511,0.0627071,0.0628877
3,8,32,0.376761,0.500904,0.501092,0.0154956,0.0160978,0.0163968
4,16,64,0.250094,0.254298,0.255801,0.00389513,0.0040749,0.00411053
5,32,128,0.186154,0.251967,0.254818,0.00097363,0.00104144,0.00105903
6,64,256,0.124749,0.12828,0.132482,0.000240167,0.000262231,0.000283802
7,128,512,0.0937117,0.12678,0.132432,6.00275e-05,6.64544e-05,7.94236e-05
8,256,1024,0.0617974,0.0657371,0.0693817,1.44468e-05,1.76177e-05,2.01629e-05
9,512,2048,0.041981,0.0642902,0.0687765,3.45543e-06,4.53598e-06,5.43594e-06
10,1024,4096,0.0298294,0.0339544,0.0375558,7.90083e-07,1.14154e-06,1.53166e-06
11,2048,8192,0.020414,0.0318224,0.0365072,1.64229e-07,2.79707e-07,4.23922e-07
12,4096,16384,0.0129222,0.0170317,0.0209875,2.70248e-08,6.20483e-08,1.08749e-07
13,8192,32768,0.00714596,0.0136134,0.018926,2.33049e-09,9.70691e-09,2.50673e-08
14,16384,65536,0.00208578,0.00585902,0.00983076,1.23156e-11,3.7795e-10,2.48691e-09
15,17233,68932,0,0,0,0,0,0
