depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.941949,0.941952,0.941952,0.619735,0.619735,0.619735
1,2,16,0.94192,0.941945,0.941946,0.154917,0.156077,0.156338
2,4,32,0.707558,0.941922,0.941946,0.0385289,0.0392351,0.0394481
3,8,64,0.47309,0.941809,0.941913,0.00967276,0.00983234,0.00997613
4,16,128,0.470806,0.473443,0.477049,0.00241747,0.00248007,0.00253041
5,32,256,0.468918,0.473379,0.477744,0.000598206,0.000631065,0.000654258
6,64,512,0.35292,0.473115,0.477361,0.000149582,0.000159702,0.000164368
7,128,1024,0.237188,0.471102,0.476403,3.71876e-05,4.02157e-05,4.34232e-05
8,256,2048,0.234182,0.241337,0.248877,9.10897e-06,1.02403e-05,1.12398e-05
9,512,4096,0.230404,0.240255,0.247694,2.15953e-06,2.59968e-06,3.0715e-06
10,1024,8192,0.17004,0.237677,0.246398,4.97643e-07,6.48221e-07,8.19716e-07
11,2048,16384,0.116567,0.228808,0.242657,1.03845e-07,1.52405e-07,2.1051e-07
12,4096,32768,0.108235,0.123649,0.141001,1.78848e-08,3.24692e-08,5.09682e-08
13,8192,65536,0.091865,0.116209,0.134731,1.96116e-09,5.20431e-09,9.85921e-09
14,16384,131072,0.054616,0.0994337,0.124872,6.37849e-11,3.7246e-10,1.28617e-09
15,32768,262144,0.0195201,0.0548011,0.0987626,5.54219e-15,9.19816e-13,2.0676e-11
16,34465,275720,0,0,0,0,0,0
