depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.923079,0.923092,0.923092,0.618538,0.618538,0.618538
1,2,12,0.922947,0.92307,0.923079,0.154604,0.155291,0.155446
2,4,24,0.462841,0.922994,0.923079,0.038412,0.0392193,0.0395292
3,8,48,0.461368,0.465635,0.467714,0.00958904,0.00986061,0.0101259
4,16,96,0.458568,0.465278,0.467707,0.00242031,0.00246737,0.00257726
5,32,192,0.233193,0.463035,0.46755,0.000603284,0.000628243,0.000648701
6,64,384,0.23029,0.234886,0.243555,0.000149442,0.000163832,0.000168963
7,128,768,0.225795,0.234241,0.242861,3.64431e-05,4.16695e-05,4.49063e-05
8,256,1536,0.117455,0.232013,0.242534,8.78409e-06,1.05577e-05,1.22834e-05
9,512,3072,0.112916,0.121844,0.130345,2.05918e-06,2.70354e-06,3.3242e-06
10,1024,6144,0.104817,0.118837,0.128279,4.41308e-07,6.68539e-07,8.57783e-07
11,2048,12288,0.0577409,0.111892,0.124589,8.43941e-08,1.47353e-07,2.32806e-07
12,4096,24576,0.04817,0.0606404,0.0730143,1.13945e-08,2.73217e-08,5.1363e-08
13,8192,49152,0.0312445,0.0519321,0.0666187,6.06607e-10,2.93124e-09,7.89781e-09
14,16384,98304,0.0098763,0.0294941,0.052537,4.13848e-13,3.19624e-11,3.53332e-10
15,17233,103398,0,0,0,0,0,0
