left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
626,17,39,15,5,19,4956,5,11,34,15,7,0,5,12,7,10,1.41667,0.588235,2
627,26,65,24,8,33,4924,11,12,57,24,7,0,8,15,7,19,1.73333,0.730769,2.375
628,25,39,17,3,19,4943,18,11,36,17,4,0,3,7,4,21,3.57143,0.84,7
629,15,50,21,3,26,4947,3,12,47,21,9,0,3,12,9,6,1.25,0.4,2
630,25,76,30,7,39,4915,9,12,69,30,9,0,7,16,9,16,1.5625,0.64,2.28571
631,22,69,24,10,35,4924,7,12,59,24,5,0,10,15,5,17,1.46667,0.772727,1.7
632,19,82,33,7,42,4913,5,12,75,33,7,0,7,14,7,12,1.35714,0.631579,1.71429
633,12,38,15,4,19,4959,3,12,34,15,5,0,4,9,5,7,1.33333,0.583333,1.75
634,18,54,22,5,27,4939,7,12,49,22,6,0,5,11,6,12,1.63636,0.666667,2.4
635,21,48,20,4,24,4940,12,12,44,20,5,0,4,9,5,16,2.33333,0.761905,4
636,23,55,19,8,28,4941,4,12,47,19,11,0,8,19,11,12,1.21053,0.521739,1.5
637,12,30,12,3,15,4965,5,12,27,12,4,0,3,7,4,8,1.71429,0.666667,2.66667
638,16,73,29,7,37,4924,3,12,66,29,6,0,7,13,6,10,1.23077,0.625,1.42857
639,22,71,26,8,37,4925,4,12,63,26,10,0,8,18,10,12,1.22222,0.545455,1.5
640,19,52,19,6,27,4941,7,12,46,19,6,0,6,12,6,13,1.58333,0.684211,2.16667
641,19,30,11,4,15,4959,11,12,26,11,4,0,4,8,4,15,2.375,0.789474,3.75
642,14,39,14,5,20,4957,4,12,34,14,5,0,5,10,5,9,1.4,0.642857,1.8
643,22,52,20,6,26,4937,11,12,46,20,5,0,6,11,5,17,2,0.772727,2.83333
644,16,72,29,6,37,4927,1,12,66,29,9,0,6,15,9,7,1.06667,0.4375,1.16667
645,23,50,17,8,25,4942,8,12,42,17,7,0,8,15,7,16,1.53333,0.695652,2
646,22,54,20,6,28,4935,11,12,48,20,5,0,6,11,5,17,2,0.772727,2.83333
647,29,71,25,9,37,4919,10,12,62,25,10,0,9,19,10,19,1.52632,0.655172,2.11111
648,25,41,15,6,20,4946,13,11,35,15,6,0,6,12,6,19,2.08333,0.76,3.16667
649,18,43,16,6,21,4949,8,11,37,16,4,0,6,10,4,14,1.8,0.777778,2.33333
650,12,45,18,4,23,4952,3,12,41,18,5,0,4,9,5,7,1.33333,0.583333,1.75
651,23,65,23,9,33,4930,5,12,56,23,9,0,9,18,9,14,1.27778,0.608696,1.55556
652,20,55,19,8,28,4939,6,12,47,19,6,0,8,14,6,14,1.42857,0.7,1.75
653,12,38,15,3,20,4960,2,12,35,15,7,0,3,10,7,5,1.2,0.416667,1.66667
654,21,64,26,6,32,4927,9,12,58,26,6,0,6,12,6,15,1.75,0.714286,2.5
655,22,55,20,7,28,4938,7,12,48,20,8,0,7,15,8,14,1.46667,0.636364,2
656,20,66,31,2,33,4919,15,12,64,31,3,0,2,5,3,17,4,0.85,8.5
657,26,47,15,7,25,4943,10,12,40,15,9,0,7,16,9,17,1.625,0.653846,2.42857
658,19,57,24,4,29,4932,11,12,53,24,4,0,4,8,4,15,2.375,0.789474,3.75
659,26,45,18,5,22,4941,14,11,40,18,7,0,5,12,7,19,2.16667,0.730769,3.8
660,19,60,25,4,31,4932,8,12,56,25,7,0,4,11,7,12,1.72727,0.631579,3
661,23,37,13,5,19,4950,13,12,32,13,5,0,5,10,5,18,2.3,0.782609,3.6
662,28,58,18,10,30,4929,13,12,48,18,5,0,10,15,5,23,1.86667,0.821429,2.3
