depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.899352,0.899407,0.899407,0.427944,0.427944,0.427944
1,2,16,0.899132,0.899377,0.899407,0.10682,0.107392,0.107521
2,4,32,0.676413,0.899251,0.899347,0.0266002,0.0272997,0.0273485
3,8,64,0.450817,0.898876,0.899298,0.00651063,0.0069483,0.00702271
4,16,128,0.448525,0.457166,0.473419,0.00164094,0.00179324,0.00188315
5,32,256,0.442056,0.456134,0.472842,0.000401684,0.000453101,0.000489295
6,64,512,0.329528,0.454157,0.472485,9.481e-05,0.000114387,0.000123239
7,128,1024,0.22544,0.441192,0.468352,2.10334e-05,2.84856e-05,3.33827e-05
8,256,2048,0.213357,0.235223,0.261474,4.10561e-06,6.38828e-06,9.17939e-06
9,512,4096,0.192849,0.227378,0.253078,6.54451e-07,1.261e-06,1.86184e-06
10,1024,8192,0.124338,0.20695,0.243103,5.60794e-08,1.76081e-07,3.73061e-07
11,2048,16384,0.0742119,0.147101,0.216142,7.66402e-10,7.11209e-09,2.99871e-08
12,4096,32768,0,0.060539,0.117119,0,5.70596e-12,2.98423e-10
13,1809,14472,0,0,0,0,0,0
