group_size,count
6,1
7,3
8,14
9,26
10,56
11,99
12,148
13,224
14,347
15,442
16,575
17,657
18,697
19,733
20,717
21,709
22,593
23,508
24,453
25,343
26,266
27,208
28,138
29,122
30,83
31,41
32,52
33,52
34,41
35,48
36,56
37,65
38,48
39,69
40,52
41,51
42,56
43,55
44,41
45,41
46,24
47,23
48,24
49,16
50,15
51,10
52,9
53,4
54,4
55,4
56,9
57,3
58,4
59,6
60,5
61,3
62,1
63,4
64,1
65,4
66,3
67,2
68,1
70,3
72,3
75,1
76,2
