group_size,count
1,1
3,7
4,4
5,7
6,5
7,8
8,9
9,6
10,7
11,13
12,13
13,16
14,15
15,20
16,20
17,14
18,19
19,24
20,30
21,30
22,23
23,34
24,42
25,41
26,39
27,53
28,48
29,48
30,64
31,60
32,63
33,67
34,75
35,63
36,72
37,73
38,98
39,72
40,99
41,85
42,84
43,95
44,114
45,124
46,118
47,117
48,116
49,114
50,117
51,122
52,129
53,132
54,116
55,122
56,133
57,123
58,144
59,140
60,152
61,144
62,141
63,131
64,156
65,137
66,172
67,172
68,133
69,193
70,152
71,168
72,173
73,157
74,182
75,197
76,164
77,162
78,187
79,153
80,153
81,183
82,179
83,167
84,181
85,172
86,163
87,175
88,178
89,160
90,178
91,171
92,179
93,157
94,171
95,186
96,156
97,179
98,148
99,154
100,162
101,166
102,151
103,168
104,144
105,173
106,163
107,151
108,173
109,178
110,152
111,162
112,166
113,177
114,157
115,173
116,137
117,159
118,157
119,144
120,161
121,127
122,163
123,139
124,146
125,158
126,144
127,133
128,145
129,145
130,135
131,153
132,136
133,116
134,134
135,122
136,137
137,127
138,133
139,124
140,128
141,122
142,134
143,127
144,101
145,117
146,116
147,101
148,105
149,106
150,89
151,97
152,94
153,81
154,92
155,99
156,82
157,66
158,75
159,89
160,82
161,76
162,67
163,75
164,52
165,60
166,69
167,50
168,60
169,57
170,63
171,48
172,57
173,50
174,36
175,39
176,42
177,35
178,38
179,45
180,31
181,32
182,27
183,27
184,28
185,28
186,25
187,22
188,29
189,23
190,21
191,17
192,17
193,26
194,12
195,13
196,17
197,14
198,13
199,9
200,14
201,9
202,12
203,12
204,6
205,6
206,7
207,12
208,8
209,6
210,6
211,6
212,7
213,6
214,6
215,5
216,4
217,2
218,4
219,3
220,9
221,3
222,3
223,2
224,1
225,2
226,1
227,3
229,1
230,2
231,3
233,2
234,1
235,2
236,1
237,3
238,1
243,1
245,1
247,1
251,1
253,1
255,1
257,1
