left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,13,626,295,4,327,49374,0,15,622,295,9,0,4,13,9,4,1,0.307692,1
1,9,430,209,2,219,49569,1,15,428,209,6,0,2,8,6,3,1.125,0.333333,1.5
2,6,671,327,3,341,49329,0,15,668,327,3,0,3,6,3,3,1,0.5,1
3,34,812,381,14,417,49185,3,15,798,381,17,0,14,31,17,17,1.09677,0.5,1.21429
4,13,870,423,1,446,49130,0,15,869,423,12,0,1,13,12,1,1,0.0769231,1
5,23,1582,766,6,810,48418,0,15,1576,766,17,0,6,23,17,6,1,0.26087,1
6,14,1027,501,1,525,48973,0,15,1026,501,13,0,1,14,13,1,1,0.0714286,1
7,23,939,444,9,486,49060,1,15,930,444,13,0,9,22,13,10,1.04545,0.434783,1.11111
8,10,311,151,2,158,49688,1,15,309,151,7,0,2,9,7,3,1.11111,0.3,1.5
9,13,466,213,10,243,49534,0,15,456,213,3,0,10,13,3,10,1,0.769231,1
10,23,619,295,6,318,49380,1,15,613,295,16,0,6,22,16,7,1.04545,0.304348,1.16667
11,27,1453,702,7,744,48546,1,15,1446,702,19,0,7,26,19,8,1.03846,0.296296,1.14286
12,5,300,144,3,153,49700,0,15,297,144,2,0,3,5,2,3,1,0.6,1
13,24,773,356,10,407,49227,0,15,763,356,14,0,10,24,14,10,1,0.416667,1
14,16,253,121,3,129,49747,0,15,250,121,13,0,3,16,13,3,1,0.1875,1
15,21,1207,583,6,618,48793,0,15,1201,583,15,0,6,21,15,6,1,0.285714,1
16,13,1066,521,4,541,48934,0,15,1062,521,9,0,4,13,9,4,1,0.307692,1
17,21,550,258,6,286,49448,2,15,544,258,13,0,6,19,13,8,1.10526,0.380952,1.33333
18,23,605,284,8,313,49393,2,15,597,284,13,0,8,21,13,10,1.09524,0.434783,1.25
19,15,934,445,7,482,49066,0,15,927,445,8,0,7,15,8,7,1,0.466667,1
20,27,1219,577,8,634,48781,0,15,1211,577,19,0,8,27,19,8,1,0.296296,1
21,31,780,361,10,409,49215,5,15,770,361,16,0,10,26,16,15,1.19231,0.483871,1.5
22,28,1636,787,8,841,48364,0,15,1628,787,20,0,8,28,20,8,1,0.285714,1
23,3,478,235,0,243,49522,0,15,478,235,3,0,0,3,3,0,1,0,nan
24,35,1952,937,9,1006,48046,2,15,1943,937,24,0,9,33,24,11,1.06061,0.314286,1.22222
25,13,809,394,3,412,49190,1,15,806,394,9,0,3,12,9,4,1.08333,0.307692,1.33333
26,14,689,330,5,354,49310,1,15,684,330,8,0,5,13,8,6,1.07692,0.428571,1.2
27,5,882,429,4,449,49118,0,15,878,429,1,0,4,5,1,4,1,0.8,1
28,13,994,479,5,510,49005,1,15,989,479,7,0,5,12,7,6,1.08333,0.461538,1.2
29,16,1133,550,7,576,48867,0,15,1126,550,9,0,7,16,9,7,1,0.4375,1
30,25,874,403,10,461,49125,1,15,864,403,14,0,10,24,14,11,1.04167,0.44,1.1
31,7,522,250,3,269,49478,0,15,519,250,4,0,3,7,4,3,1,0.428571,1
32,13,1224,588,3,633,48776,0,15,1221,588,10,0,3,13,10,3,1,0.230769,1
33,27,1334,639,7,688,48665,1,15,1327,639,19,0,7,26,19,8,1.03846,0.296296,1.14286
34,41,1155,546,15,594,48841,4,15,1140,546,22,0,15,37,22,19,1.10811,0.463415,1.26667
35,22,1243,591,7,645,48757,0,15,1236,591,15,0,7,22,15,7,1,0.318182,1
36,24,846,400,8,438,49153,1,15,838,400,15,0,8,23,15,9,1.04348,0.375,1.125
37,7,664,318,4,342,49336,0,15,660,318,3,0,4,7,3,4,1,0.571429,1
38,17,866,412,7,447,49134,0,15,859,412,10,0,7,17,10,7,1,0.411765,1
39,25,1147,551,9,587,48853,0,15,1138,551,16,0,9,25,16,9,1,0.36,1
40,24,2966,1441,9,1516,47033,1,15,2957,1441,14,0,9,23,14,10,1.04348,0.416667,1.11111
41,25,584,272,9,303,49414,2,15,575,272,14,0,9,23,14,11,1.08696,0.44,1.22222
42,28,1023,479,8,536,48977,0,15,1015,479,20,0,8,28,20,8,1,0.285714,1
43,18,976,474,5,497,49023,1,15,971,474,12,0,5,17,12,6,1.05882,0.333333,1.2
44,29,1139,544,5,590,48860,1,15,1134,544,23,0,5,28,23,6,1.03571,0.206897,1.2
45,29,2010,961,14,1035,47987,3,15,1996,961,12,0,14,26,12,17,1.11538,0.586207,1.21429
46,16,747,356,4,387,49253,0,15,743,356,12,0,4,16,12,4,1,0.25,1
47,15,350,166,6,178,49648,2,15,344,166,7,0,6,13,7,8,1.15385,0.533333,1.33333
48,18,599,283,4,312,49400,1,15,595,283,13,0,4,17,13,5,1.05882,0.277778,1.25
49,13,1556,763,4,789,48444,0,15,1552,763,9,0,4,13,9,4,1,0.307692,1
50,33,1239,590,9,640,48759,2,15,1230,590,22,0,9,31,22,11,1.06452,0.333333,1.22222
51,15,639,299,9,331,49360,1,15,630,299,5,0,9,14,5,10,1.07143,0.666667,1.11111
52,35,1515,725,10,780,48483,2,15,1505,725,23,0,10,33,23,12,1.06061,0.342857,1.2
53,15,867,419,3,445,49132,1,15,864,419,11,0,3,14,11,4,1.07143,0.266667,1.33333
54,20,1010,483,3,524,48990,0,15,1007,483,17,0,3,20,17,3,1,0.15,1
55,20,1504,728,7,769,48495,1,15,1497,728,12,0,7,19,12,8,1.05263,0.4,1.14286
56,9,417,201,4,212,49583,0,15,413,201,5,0,4,9,5,4,1,0.444444,1
57,15,674,326,2,346,49325,1,15,672,326,12,0,2,14,12,3,1.07143,0.2,1.5
58,19,1202,581,9,612,48797,1,15,1193,581,9,0,9,18,9,10,1.05556,0.526316,1.11111
59,38,743,326,15,402,49255,2,15,728,326,21,0,15,36,21,17,1.05556,0.447368,1.13333
60,27,346,148,10,188,49652,2,15,336,148,15,0,10,25,15,12,1.08,0.444444,1.2
61,17,738,351,5,382,49262,0,15,733,351,12,0,5,17,12,5,1,0.294118,1
62,13,1145,561,6,578,48855,0,15,1139,561,7,0,6,13,7,6,1,0.461538,1
63,24,766,361,7,398,49232,2,15,759,361,15,0,7,22,15,9,1.09091,0.375,1.28571
64,17,867,411,11,445,49133,0,15,856,411,6,0,11,17,6,11,1,0.647059,1
65,23,1691,815,10,866,48309,0,15,1681,815,13,0,10,23,13,10,1,0.434783,1
66,17,598,283,6,309,49402,0,15,592,283,11,0,6,17,11,6,1,0.352941,1
67,12,710,330,7,373,49289,1,15,703,330,4,0,7,11,4,8,1.09091,0.666667,1.14286
68,4,400,195,3,202,49600,0,15,397,195,1,0,3,4,1,3,1,0.75,1
69,27,1143,545,11,587,48855,2,15,1132,545,14,0,11,25,14,13,1.08,0.481481,1.18182
70,6,479,231,1,247,49521,0,15,478,231,5,0,1,6,5,1,1,0.166667,1
71,29,660,304,14,342,49338,2,15,646,304,13,0,14,27,13,16,1.07407,0.551724,1.14286
72,10,654,319,2,333,49346,0,15,652,319,8,0,2,10,8,2,1,0.2,1
73,29,578,253,17,308,49422,0,15,561,253,12,0,17,29,12,17,1,0.586207,1
74,14,1222,590,7,625,48776,2,15,1215,590,5,0,7,12,5,9,1.16667,0.642857,1.28571
75,27,1643,792,9,842,48357,0,15,1634,792,18,0,9,27,18,9,1,0.333333,1
76,21,1188,573,5,610,48810,2,15,1183,573,14,0,5,19,14,7,1.10526,0.333333,1.4
77,22,1208,578,9,621,48790,2,15,1199,578,11,0,9,20,11,11,1.1,0.5,1.22222
78,22,496,226,10,260,49503,1,15,486,226,11,0,10,21,11,11,1.04762,0.5,1.1
79,19,1367,653,9,705,48632,1,15,1358,653,9,0,9,18,9,10,1.05556,0.526316,1.11111
80,20,790,375,7,408,49209,1,15,783,375,12,0,7,19,12,8,1.05263,0.4,1.14286
81,11,809,396,1,412,49191,0,15,808,396,10,0,1,11,10,1,1,0.0909091,1
82,30,803,383,7,413,49196,1,15,796,383,22,0,7,29,22,8,1.03448,0.266667,1.14286
83,6,679,332,2,345,49321,0,15,677,332,4,0,2,6,4,2,1,0.333333,1
84,34,1402,665,6,731,48597,1,15,1396,665,27,0,6,33,27,7,1.0303,0.205882,1.16667
85,16,1023,498,5,520,48977,0,15,1018,498,11,0,5,16,11,5,1,0.3125,1
86,22,749,351,10,388,49249,2,15,739,351,10,0,10,20,10,12,1.1,0.545455,1.2
87,16,828,403,4,421,49172,0,15,824,403,12,0,4,16,12,4,1,0.25,1
88,18,1077,515,7,555,48922,1,15,1070,515,10,0,7,17,10,8,1.05882,0.444444,1.14286
89,8,386,188,2,196,49614,0,15,384,188,6,0,2,8,6,2,1,0.25,1
90,14,410,193,7,210,49589,1,15,403,193,6,0,7,13,6,8,1.07692,0.571429,1.14286
91,39,901,417,12,472,49096,3,15,889,417,24,0,12,36,24,15,1.08333,0.384615,1.25
92,30,893,416,10,467,49106,1,15,883,416,19,0,10,29,19,11,1.03448,0.366667,1.1
93,27,537,243,9,285,49462,1,15,528,243,17,0,9,26,17,10,1.03846,0.37037,1.11111
94,17,806,388,6,412,49193,1,15,800,388,10,0,6,16,10,7,1.0625,0.411765,1.16667
95,16,520,248,5,267,49479,1,15,515,248,10,0,5,15,10,6,1.06667,0.375,1.2
96,19,644,300,8,336,49354,2,15,636,300,9,0,8,17,9,10,1.11765,0.526316,1.25
