group_idx,group_size,K_point,K_subtree
0,22,11,11
1,25,7,18
2,27,19,8
3,24,14,10
4,20,2,18
5,19,15,4
6,17,11,6
7,21,15,6
8,8,5,3
9,8,4,4
10,27,8,19
11,21,18,3
12,10,3,7
13,9,7,2
14,19,10,9
15,20,8,12
16,12,8,4
17,14,10,4
18,15,9,6
19,28,18,10
20,46,20,26
21,14,4,10
22,18,10,8
23,28,14,14
24,22,7,15
25,12,5,7
26,17,10,7
27,11,10,1
28,20,16,4
29,25,21,4
30,19,6,13
31,21,10,11
32,22,18,4
33,16,3,13
34,23,15,8
35,41,27,14
36,15,9,6
37,21,5,16
38,13,9,4
39,24,7,17
40,30,17,13
41,6,1,5
42,18,10,8
43,19,13,6
44,16,7,9
45,24,13,11
46,33,21,12
47,25,9,16
48,22,11,11
49,36,16,20
50,35,20,15
51,23,9,14
52,23,14,9
53,26,15,11
54,21,5,16
55,18,7,11
56,18,15,3
57,34,21,13
58,11,7,4
59,27,16,11
60,20,5,15
61,15,6,9
62,18,13,5
63,21,9,12
64,22,12,10
65,7,4,3
66,10,5,5
67,21,15,6
68,11,6,5
69,11,3,8
70,12,7,5
71,19,6,13
72,21,10,11
73,12,6,6
74,14,9,5
75,39,24,15
76,11,6,5
77,16,7,9
78,16,7,9
79,18,8,10
80,17,8,9
81,9,5,4
82,25,11,14
83,27,12,15
84,13,8,5
85,11,4,7
86,9,1,8
87,26,6,20
88,25,9,16
89,19,11,8
90,17,9,8
91,8,7,1
92,12,6,6
93,22,10,12
94,11,3,8
95,7,3,4
96,21,6,15
97,20,9,11
98,13,9,4
99,26,19,7
100,28,14,14
101,35,23,12
102,29,10,19
103,21,16,5
104,28,12,16
105,17,14,3
106,28,17,11
107,7,3,4
108,27,20,7
109,25,13,12
110,14,10,4
111,25,9,16
112,19,11,8
113,20,13,7
114,15,12,3
115,28,13,15
116,33,12,21
117,14,10,4
118,32,18,14
119,23,11,12
120,10,4,6
121,1,1,0
122,22,8,14
123,16,7,9
124,15,8,7
125,18,9,9
126,11,6,5
127,9,1,8
128,19,11,8
129,18,5,13
130,16,10,6
131,13,8,5
132,15,4,11
133,16,9,7
134,28,17,11
135,13,9,4
136,15,9,6
137,22,10,12
138,20,3,17
139,29,15,14
140,26,16,10
141,14,10,4
142,23,8,15
143,22,12,10
144,36,10,26
145,36,13,23
146,35,28,7
147,21,13,8
148,25,12,13
149,15,5,10
150,15,10,5
151,21,11,10
152,6,2,4
153,3,0,3
154,21,10,11
155,14,7,7
156,13,9,4
157,24,13,11
158,28,15,13
159,34,18,16
160,15,5,10
161,17,6,11
162,24,18,6
163,14,10,4
164,6,3,3
165,24,8,16
166,16,5,11
167,19,13,6
168,20,15,5
169,26,16,10
170,23,13,10
171,15,4,11
172,18,10,8
173,14,4,10
174,19,11,8
175,21,8,13
176,15,8,7
177,17,15,2
178,29,16,13
179,19,9,10
180,7,3,4
181,14,11,3
182,11,6,5
183,7,5,2
184,10,3,7
185,27,19,8
186,19,7,12
187,19,14,5
188,26,13,13
189,17,6,11
190,22,11,11
191,7,4,3
192,18,6,12
193,22,9,13
194,18,5,13
195,21,13,8
196,29,21,8
197,15,6,9
198,16,11,5
199,17,10,7
200,23,14,9
201,12,7,5
202,15,6,9
203,13,5,8
204,19,9,10
205,30,13,17
206,25,13,12
207,18,12,6
208,15,13,2
209,21,15,6
210,16,10,6
211,23,9,14
212,10,7,3
213,16,11,5
214,16,8,8
215,31,14,17
216,13,9,4
217,19,10,9
218,16,10,6
219,17,9,8
220,25,11,14
221,22,10,12
222,16,6,10
223,21,12,9
224,9,2,7
225,20,10,10
226,27,13,14
227,17,11,6
228,36,20,16
229,22,14,8
230,15,8,7
231,15,9,6
232,24,11,13
233,26,10,16
234,25,8,17
235,25,12,13
236,21,11,10
237,20,6,14
238,18,12,6
239,22,8,14
240,14,4,10
241,7,3,4
242,24,11,13
243,21,12,9
244,17,9,8
245,31,14,17
246,26,13,13
247,21,6,15
248,13,7,6
249,5,5,0
250,20,12,8
251,16,11,5
252,28,17,11
253,37,15,22
254,21,17,4
255,14,7,7
256,17,6,11
257,17,10,7
258,41,19,22
259,13,8,5
260,15,7,8
261,24,20,4
262,19,10,9
263,16,8,8
264,18,5,13
265,23,13,10
266,18,6,12
267,15,13,2
268,23,11,12
269,24,15,9
270,16,9,7
271,17,12,5
272,22,8,14
273,38,14,24
274,12,1,11
275,19,15,4
276,13,8,5
277,19,16,3
278,11,6,5
279,16,7,9
280,19,8,11
281,25,7,18
282,16,9,7
283,14,7,7
284,4,1,3
285,13,1,12
286,23,11,12
287,16,10,6
288,11,5,6
289,23,9,14
290,20,10,10
291,21,16,5
292,21,10,11
293,11,8,3
294,19,15,4
295,18,7,11
296,16,5,11
297,23,8,15
298,18,8,10
299,18,10,8
300,21,12,9
301,10,2,8
302,18,7,11
303,19,13,6
304,18,10,8
305,26,6,20
306,19,8,11
307,17,11,6
308,27,9,18
309,21,10,11
310,15,10,5
311,8,6,2
312,16,6,10
313,16,12,4
314,23,18,5
315,24,17,7
316,16,5,11
317,18,9,9
318,18,6,12
319,18,8,10
320,22,7,15
321,27,21,6
322,17,14,3
323,19,7,12
324,13,9,4
325,13,8,5
326,22,12,10
327,7,4,3
328,9,4,5
329,24,12,12
330,17,13,4
331,19,8,11
332,12,7,5
333,22,16,6
334,16,12,4
335,21,11,10
336,9,6,3
337,23,19,4
338,22,11,11
339,14,3,11
340,19,8,11
341,47,25,22
342,27,12,15
343,35,15,20
344,30,18,12
345,19,9,10
346,26,16,10
347,23,14,9
348,19,17,2
349,27,17,10
350,16,11,5
351,6,1,5
352,16,6,10
353,10,6,4
354,12,5,7
355,22,8,14
356,18,15,3
357,16,11,5
358,26,18,8
359,30,14,16
360,31,19,12
361,27,9,18
362,24,9,15
363,22,7,15
364,18,13,5
365,14,11,3
366,23,12,11
367,31,15,16
368,21,17,4
369,20,14,6
370,23,11,12
371,11,7,4
372,31,15,16
373,14,10,4
374,25,10,15
375,16,14,2
376,18,7,11
377,22,5,17
378,25,15,10
379,9,4,5
380,15,11,4
381,36,18,18
382,19,9,10
383,12,6,6
384,14,4,10
385,27,12,15
386,22,14,8
387,8,5,3
388,19,8,11
389,10,1,9
390,29,5,24
391,13,4,9
392,19,8,11
393,17,10,7
394,12,4,8
395,12,11,1
396,30,19,11
397,25,9,16
