depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.992868,0.994841,0.995645,0.95939,0.95939,0.95939
1,2,12,0.988918,0.992608,0.992942,0.324299,0.380617,0.393289
2,4,24,0.599413,0.991496,0.99277,0.0950986,0.137062,0.148909
3,8,48,0.511067,0.700469,0.841509,0.0284754,0.035558,0.0372627
4,16,96,0.502898,0.635707,0.717083,0.0082554,0.0165282,0.0175375
5,32,192,0.367764,0.51366,0.686992,0.0022736,0.00471864,0.00692997
6,64,384,0.270927,0.411256,0.50159,0.000706018,0.00136895,0.00217584
7,128,768,0.261333,0.356097,0.443927,0.00019749,0.000402968,0.000834473
8,256,1536,0.211098,0.304437,0.410634,5.88376e-05,0.000133053,0.00020633
9,512,3072,0.146373,0.225565,0.314525,1.53747e-05,2.86733e-05,5.08067e-05
10,1024,6144,0.130067,0.189488,0.265622,3.75737e-06,8.02513e-06,1.48882e-05
11,2048,12288,0.0979986,0.150389,0.228361,7.74466e-07,1.7674e-06,3.89592e-06
12,4096,24576,0.0675248,0.106695,0.169539,1.05076e-07,2.85596e-07,6.94894e-07
13,8192,49152,0.0451882,0.0801837,0.135384,6.63851e-09,3.07228e-08,1.0525e-07
14,16384,98304,0.0161181,0.0470228,0.0928626,5.75259e-12,2.30222e-10,2.77601e-09
15,17233,103398,0,0,0,0,0,0
