group_idx,group_size,K_point,K_subtree
0,92,40,52
1,27,10,17
2,129,50,79
3,103,30,73
4,94,35,59
5,158,64,94
6,70,23,47
7,203,73,130
8,198,82,116
9,95,28,67
10,179,42,137
11,119,49,70
12,132,41,91
13,87,25,62
14,85,26,59
15,65,27,38
16,41,12,29
17,154,35,119
18,108,21,87
19,101,36,65
20,104,32,72
21,139,65,74
22,72,25,47
23,112,24,88
24,96,20,76
25,116,37,79
26,224,51,173
27,64,15,49
28,101,31,70
29,44,20,24
30,176,46,130
31,47,16,31
32,62,17,45
33,127,35,92
34,104,24,80
35,178,44,134
36,31,7,24
37,62,19,43
38,89,17,72
39,68,24,44
40,75,21,54
41,37,6,31
42,71,28,43
43,44,7,37
44,106,40,66
45,148,58,90
46,40,15,25
47,81,17,64
48,40,17,23
49,45,16,29
50,117,41,76
51,43,21,22
52,103,44,59
53,40,13,27
54,86,34,52
55,41,24,17
56,171,65,106
57,39,16,23
58,122,50,72
59,93,33,60
60,56,19,37
61,46,12,34
62,78,22,56
63,48,13,35
64,114,32,82
65,191,59,132
66,116,37,79
67,131,41,90
68,42,17,25
69,60,24,36
70,113,34,79
71,52,9,43
72,71,16,55
73,130,41,89
74,144,38,106
75,75,30,45
76,87,19,68
77,145,42,103
78,99,20,79
79,140,55,85
80,171,33,138
81,102,42,60
82,85,34,51
83,141,33,108
84,84,32,52
85,165,57,108
86,38,11,27
87,58,23,35
88,44,11,33
89,116,29,87
90,112,18,94
91,92,26,66
92,77,25,52
93,139,35,104
94,61,23,38
95,53,19,34
96,134,53,81
97,190,63,127
98,65,13,52
99,122,39,83
100,34,12,22
101,79,10,69
102,135,39,96
103,76,15,61
104,90,25,65
105,78,32,46
106,147,39,108
107,98,22,76
108,105,29,76
109,119,49,70
110,88,34,54
111,62,16,46
112,92,40,52
113,77,20,57
114,109,37,72
115,83,33,50
116,155,39,116
117,124,36,88
118,115,36,79
119,27,11,16
120,43,21,22
121,66,19,47
122,98,20,78
123,167,42,125
124,35,7,28
125,79,40,39
126,83,27,56
127,156,32,124
128,66,13,53
129,55,12,43
130,47,12,35
131,80,27,53
132,122,56,66
133,51,16,35
134,116,28,88
135,133,37,96
136,96,33,63
137,55,15,40
138,96,30,66
139,97,43,54
140,125,43,82
141,93,37,56
142,71,20,51
143,75,18,57
144,109,32,77
145,76,33,43
146,87,25,62
147,120,51,69
148,123,32,91
149,69,27,42
150,68,15,53
151,36,10,26
152,89,39,50
153,129,41,88
154,226,72,154
155,63,24,39
156,145,35,110
157,109,45,64
158,78,32,46
159,70,15,55
160,48,14,34
161,32,8,24
162,61,11,50
163,94,21,73
164,41,9,32
165,98,23,75
166,143,61,82
167,105,33,72
168,124,36,88
169,44,18,26
170,69,27,42
171,142,36,106
172,93,29,64
173,143,38,105
174,116,27,89
175,75,17,58
176,132,57,75
177,86,31,55
178,61,17,44
179,96,45,51
180,145,30,115
181,100,46,54
182,97,41,56
183,178,58,120
184,110,34,76
185,98,28,70
186,108,26,82
187,147,49,98
188,74,33,41
189,177,59,118
190,59,17,42
191,65,32,33
192,83,31,52
193,168,48,120
194,78,30,48
195,69,33,36
196,40,8,32
197,132,40,92
198,181,59,122
199,163,45,118
200,112,36,76
201,175,53,122
202,62,19,43
203,162,49,113
204,33,10,23
205,57,23,34
206,107,35,72
207,93,30,63
208,120,30,90
209,107,37,70
210,62,11,51
211,146,41,105
212,43,20,23
213,75,31,44
214,75,22,53
215,169,46,123
216,50,14,36
217,83,19,64
218,169,61,108
219,111,24,87
220,34,16,18
221,76,32,44
222,137,28,109
223,105,26,79
224,91,25,66
225,55,23,32
226,114,35,79
227,134,49,85
228,99,26,73
229,167,35,132
230,113,34,79
231,91,41,50
232,69,10,59
233,184,67,117
234,100,22,78
235,166,46,120
236,63,33,30
237,119,23,96
238,109,37,72
239,114,49,65
240,113,44,69
241,67,31,36
242,89,26,63
243,41,11,30
244,82,16,66
245,223,78,145
246,113,33,80
247,68,28,40
248,101,38,63
249,71,25,46
250,83,35,48
251,246,87,159
252,227,78,149
253,191,62,129
254,73,12,61
255,82,34,48
256,54,15,39
257,142,40,102
258,182,54,128
259,116,40,76
260,64,16,48
261,56,15,41
262,94,27,67
263,113,43,70
264,65,19,46
265,143,47,96
266,197,52,145
267,55,17,38
268,169,58,111
269,73,23,50
270,77,20,57
271,52,20,32
