depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.746061,0.746565,0.746565,0.0960166,0.0960166,0.0960166
1,2,16,0.744973,0.746126,0.746565,0.0238891,0.0239956,0.0240196
2,4,32,0.564522,0.745151,0.745688,0.00588529,0.00625897,0.00638181
3,8,64,0.372356,0.742475,0.745688,0.00142384,0.00161425,0.00162133
4,16,128,0.367395,0.384445,0.39728,0.000335876,0.0004146,0.000444811
5,32,256,0.356931,0.380765,0.394726,6.88986e-05,9.65062e-05,0.00011462
6,64,512,0.248055,0.370588,0.391901,1.34362e-05,2.02305e-05,2.90998e-05
7,128,1024,0.171953,0.339849,0.382266,1.86466e-06,3.64031e-06,6.2754e-06
8,256,2048,0.14053,0.18603,0.234839,1.10249e-07,4.20462e-07,1.0883e-06
9,512,4096,0.0728444,0.14913,0.205954,4.71898e-10,7.08787e-09,5.60888e-08
10,977,7816,0,0,0,0,0,0
