group_size,count
8,1
12,1
16,1
18,2
19,3
22,1
23,2
24,1
25,4
26,1
27,2
28,1
29,2
30,1
31,1
33,3
34,3
35,5
36,3
37,4
38,7
39,8
40,10
41,5
42,7
43,4
44,6
45,9
46,5
47,11
48,12
49,9
50,6
51,11
52,12
53,13
54,12
55,11
56,9
57,8
58,10
59,8
60,18
61,5
62,17
63,15
64,12
65,16
66,13
67,15
68,20
69,15
70,19
71,16
72,9
73,15
74,17
75,18
76,20
77,18
78,13
79,24
80,25
81,20
82,21
83,19
84,20
85,17
86,19
87,15
88,19
89,28
90,28
91,23
92,20
93,30
94,15
95,27
96,26
97,18
98,24
99,22
100,17
101,31
102,20
103,18
104,20
105,27
106,16
107,27
108,26
109,23
110,27
111,18
112,23
113,23
114,17
115,25
116,19
117,22
118,17
119,20
120,20
121,20
122,19
123,20
124,24
125,10
126,13
127,19
128,17
129,21
130,14
131,22
132,17
133,13
134,14
135,14
136,19
137,12
138,13
139,14
140,13
141,11
142,15
143,11
144,19
145,12
146,10
147,15
148,8
149,4
150,11
151,7
152,10
153,6
154,3
155,7
156,4
157,6
158,5
159,5
160,6
161,7
162,6
163,3
164,3
165,1
166,5
167,1
169,1
170,3
171,1
173,1
174,2
175,3
176,1
177,3
178,1
179,1
180,1
181,1
183,3
185,1
186,2
193,1
194,1
196,1
200,1
