depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.950583,0.950689,0.950689,0.816507,0.816507,0.816507
1,2,8,0.719241,0.950476,0.950476,0.203408,0.214386,0.216856
2,4,16,0.473303,0.489624,0.490159,0.0506238,0.0542889,0.0550683
3,8,32,0.359266,0.479795,0.482411,0.0117789,0.0144062,0.0150477
4,16,64,0.232652,0.256948,0.264795,0.00302368,0.00346128,0.00397819
5,32,128,0.169169,0.241572,0.262166,0.000709355,0.00091549,0.00107009
6,64,256,0.111435,0.129475,0.147206,0.000152293,0.000228702,0.000289558
7,128,512,0.0758647,0.119469,0.133409,2.85844e-05,5.67457e-05,7.84848e-05
8,256,1024,0.0436053,0.0626344,0.0801041,3.07912e-06,1.04989e-05,1.9965e-05
9,512,2048,0.0171572,0.0434151,0.0649413,8.81843e-08,8.19591e-07,4.1337e-06
10,977,3908,0,0,0,0,0,0
