depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.988248,0.991309,0.991744,0.929318,0.929318,0.929318
1,2,12,0.982779,0.987355,0.988704,0.334599,0.388223,0.400288
2,4,24,0.712376,0.982579,0.98777,0.110696,0.160894,0.18005
3,8,48,0.523491,0.930543,0.970108,0.0393702,0.0588524,0.0764013
4,16,96,0.514632,0.875409,0.960039,0.0125129,0.0308591,0.0446967
5,32,192,0.452245,0.62854,0.944962,0.00444599,0.010359,0.0219836
6,64,384,0.295488,0.516169,0.642214,0.00171861,0.00399458,0.00911356
7,128,768,0.285726,0.47947,0.616419,0.000525648,0.00146395,0.00265606
8,256,1536,0.262856,0.423369,0.582772,0.000165287,0.000494115,0.000889967
9,512,3072,0.172006,0.319726,0.528024,4.7424e-05,0.000135359,0.000328805
10,1024,6144,0.153547,0.274144,0.439612,1.25389e-05,3.82538e-05,8.57899e-05
11,2048,12288,0.116696,0.22472,0.349607,2.95394e-06,8.47209e-06,2.12912e-05
12,4096,24576,0.0865492,0.156824,0.291855,4.47795e-07,1.49755e-06,4.37708e-06
13,8192,49152,0.0566506,0.114421,0.2408,2.9812e-08,1.46546e-07,5.46662e-07
14,16384,98304,0.0206892,0.064267,0.150248,2.77708e-11,1.13455e-09,1.31485e-08
15,17233,103398,0,0,0,0,0,0
