group_idx,group_size,K_point,K_subtree
0,17,9,8
1,10,7,3
2,18,2,16
3,17,5,12
4,20,6,14
5,29,19,10
6,22,4,18
7,26,7,19
8,19,4,15
9,19,8,11
10,14,6,8
11,16,8,8
12,14,4,10
13,16,7,9
14,34,17,17
15,19,9,10
16,18,7,11
17,26,13,13
18,14,4,10
19,10,4,6
20,16,9,7
21,20,5,15
22,23,13,10
23,13,2,11
24,11,4,7
25,10,8,2
26,29,8,21
27,28,10,18
28,23,12,11
29,22,1,21
30,20,7,13
31,15,5,10
32,27,8,19
33,20,10,10
34,8,2,6
35,22,8,14
36,17,5,12
37,21,7,14
38,22,12,10
39,31,15,16
40,24,12,12
41,21,4,17
42,56,17,39
43,21,10,11
44,23,9,14
45,19,16,3
46,22,14,8
47,18,8,10
48,31,13,18
49,19,6,13
50,22,9,13
51,17,5,12
52,20,8,12
53,8,2,6
54,19,6,13
55,18,4,14
56,14,6,8
57,20,2,18
58,9,3,6
59,35,25,10
60,14,5,9
61,19,5,14
62,25,8,17
63,25,7,18
64,20,10,10
65,15,4,11
66,11,6,5
67,17,10,7
68,23,8,15
69,17,9,8
70,28,7,21
71,10,4,6
72,5,0,5
73,30,8,22
74,22,9,13
75,15,4,11
76,28,12,16
77,30,9,21
78,20,5,15
79,14,10,4
80,23,9,14
81,16,10,6
82,13,5,8
83,24,14,10
84,24,10,14
85,25,11,14
86,4,0,4
87,22,8,14
88,30,6,24
89,29,11,18
90,29,10,19
91,7,4,3
92,19,9,10
93,31,17,14
94,20,11,9
95,20,8,12
96,27,9,18
97,22,7,15
98,20,9,11
99,18,7,11
100,3,2,1
101,23,7,16
102,20,6,14
103,28,9,19
104,7,3,4
105,31,20,11
106,4,3,1
107,14,3,11
108,26,11,15
109,40,7,33
110,20,6,14
111,13,4,9
112,23,7,16
113,21,10,11
114,20,8,12
115,25,13,12
116,23,11,12
117,21,9,12
118,24,13,11
119,22,9,13
120,10,3,7
121,24,13,11
122,24,11,13
123,11,6,5
124,26,8,18
125,34,13,21
126,15,6,9
127,13,5,8
128,28,15,13
129,33,8,25
130,17,8,9
131,13,4,9
132,17,13,4
133,25,10,15
134,16,9,7
135,15,3,12
136,19,10,9
137,33,14,19
138,30,11,19
139,26,11,15
140,38,16,22
141,30,16,14
142,27,10,17
143,22,8,14
144,29,12,17
145,19,4,15
146,23,9,14
147,22,14,8
148,24,13,11
149,23,7,16
150,15,1,14
151,27,10,17
152,22,13,9
153,12,3,9
154,7,2,5
155,27,13,14
156,13,5,8
157,29,14,15
158,26,13,13
159,26,12,14
160,26,15,11
161,16,6,10
162,30,13,17
163,17,4,13
164,13,2,11
165,21,7,14
166,22,6,16
167,18,6,12
168,17,10,7
169,26,11,15
170,21,9,12
171,28,7,21
172,23,5,18
173,25,9,16
174,24,8,16
175,21,9,12
176,19,8,11
177,9,6,3
178,13,4,9
179,12,5,7
180,17,6,11
181,10,5,5
182,15,11,4
183,21,6,15
184,20,9,11
185,22,8,14
186,18,10,8
187,19,9,10
188,17,4,13
189,7,3,4
190,33,15,18
191,18,11,7
192,16,4,12
193,16,8,8
194,28,11,17
195,25,10,15
196,11,3,8
197,18,11,7
198,19,5,14
199,27,7,20
200,19,7,12
201,19,10,9
202,15,10,5
203,13,4,9
204,17,5,12
205,18,6,12
206,14,7,7
207,25,14,11
208,21,10,11
209,18,5,13
210,29,13,16
211,8,4,4
212,44,30,14
213,12,4,8
214,22,11,11
215,15,4,11
216,20,6,14
217,24,13,11
218,17,11,6
219,11,7,4
220,16,10,6
221,36,14,22
222,21,12,9
223,26,12,14
224,10,6,4
225,14,1,13
226,31,9,22
227,24,13,11
228,18,3,15
229,27,7,20
230,28,20,8
231,11,5,6
232,14,7,7
233,12,4,8
234,24,5,19
235,21,8,13
236,26,13,13
237,20,5,15
238,25,10,15
239,12,1,11
240,21,8,13
241,14,6,8
242,16,12,4
243,22,3,19
244,21,10,11
245,19,8,11
246,11,6,5
247,22,10,12
248,14,5,9
249,32,9,23
250,33,15,18
251,27,4,23
252,18,8,10
253,37,17,20
254,13,6,7
255,27,12,15
256,31,8,23
257,11,3,8
258,27,7,20
259,21,9,12
260,17,7,10
261,16,6,10
262,14,2,12
263,15,5,10
264,21,5,16
265,18,4,14
266,20,6,14
267,24,7,17
268,9,0,9
269,15,6,9
270,17,9,8
271,26,10,16
272,19,3,16
273,11,3,8
274,29,6,23
275,5,2,3
276,21,6,15
277,24,11,13
278,16,8,8
279,23,14,9
280,18,6,12
281,26,7,19
282,17,5,12
283,11,5,6
284,20,7,13
285,33,15,18
286,11,7,4
287,26,8,18
288,11,3,8
289,18,6,12
290,14,8,6
291,21,7,14
292,22,6,16
293,18,9,9
294,22,5,17
295,13,4,9
