left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,23,109,45,7,57,9888,3,13,102,45,13,0,7,20,13,10,1.15,0.434783,1.42857
1,11,96,44,3,49,9902,2,13,93,44,6,0,3,9,6,5,1.22222,0.454545,1.66667
2,22,115,47,9,59,9880,5,13,106,47,8,0,9,17,8,14,1.29412,0.636364,1.55556
3,21,80,27,10,43,9917,3,13,70,27,8,0,10,18,8,13,1.16667,0.619048,1.3
4,20,72,30,5,37,9924,4,13,67,30,11,0,5,16,11,9,1.25,0.45,1.8
5,24,88,34,8,46,9910,2,13,80,34,14,0,8,22,14,10,1.09091,0.416667,1.25
6,22,108,43,9,56,9884,8,13,99,43,5,0,9,14,5,17,1.57143,0.772727,1.88889
7,25,107,43,9,55,9884,9,13,98,43,7,0,9,16,7,18,1.5625,0.72,2
8,22,53,22,4,27,9935,12,13,49,22,6,0,4,10,6,16,2.2,0.727273,4
9,20,104,46,5,53,9889,7,13,99,46,8,0,5,13,8,12,1.53846,0.6,2.4
10,18,116,50,6,60,9880,4,13,110,50,8,0,6,14,8,10,1.28571,0.555556,1.66667
11,19,60,21,8,31,9935,5,13,52,21,6,0,8,14,6,13,1.35714,0.684211,1.625
12,14,63,25,6,32,9933,4,13,57,25,4,0,6,10,4,10,1.4,0.714286,1.66667
13,27,81,32,8,41,9912,7,13,73,32,12,0,8,20,12,15,1.35,0.555556,1.875
14,24,92,35,10,47,9904,4,13,82,35,10,0,10,20,10,14,1.2,0.583333,1.4
15,17,77,31,6,40,9921,2,13,71,31,9,0,6,15,9,8,1.13333,0.470588,1.33333
16,26,140,58,12,70,9856,4,13,128,58,10,0,12,22,10,16,1.18182,0.615385,1.33333
17,18,102,44,6,52,9893,5,13,96,44,7,0,6,13,7,11,1.38462,0.611111,1.83333
18,21,95,41,5,49,9899,6,13,90,41,10,0,5,15,10,11,1.4,0.52381,2.2
19,14,63,26,5,32,9936,1,13,58,26,8,0,5,13,8,6,1.07692,0.428571,1.2
20,15,87,37,6,44,9910,3,13,81,37,6,0,6,12,6,9,1.25,0.6,1.5
21,20,62,20,9,33,9936,2,13,53,20,9,0,9,18,9,11,1.11111,0.55,1.22222
22,19,69,28,5,36,9925,6,13,64,28,8,0,5,13,8,11,1.46154,0.578947,2.2
23,15,50,18,6,26,9947,3,13,44,18,6,0,6,12,6,9,1.25,0.6,1.5
24,19,74,30,6,38,9922,4,13,68,30,9,0,6,15,9,10,1.26667,0.526316,1.66667
25,13,44,18,3,23,9956,0,13,41,18,10,0,3,13,10,3,1,0.230769,1
26,27,69,27,7,35,9919,12,13,62,27,8,0,7,15,8,19,1.8,0.703704,2.71429
27,24,59,20,8,31,9934,7,13,51,20,9,0,8,17,9,15,1.41176,0.625,1.875
28,18,101,45,5,51,9898,1,13,96,45,12,0,5,17,12,6,1.05882,0.333333,1.2
29,20,130,56,8,66,9863,7,13,122,56,5,0,8,13,5,15,1.53846,0.75,1.875
30,24,55,21,6,28,9935,10,13,49,21,8,0,6,14,8,16,1.71429,0.666667,2.66667
31,13,68,29,5,34,9927,5,13,63,29,3,0,5,8,3,10,1.625,0.769231,2
32,20,121,51,8,62,9873,6,13,113,51,6,0,8,14,6,14,1.42857,0.7,1.75
33,17,85,37,5,43,9911,4,13,80,37,8,0,5,13,8,9,1.30769,0.529412,1.8
34,12,91,40,5,46,9907,2,13,86,40,5,0,5,10,5,7,1.2,0.583333,1.4
35,23,69,28,7,34,9923,8,12,62,28,8,0,7,15,8,15,1.53333,0.652174,2.14286
36,15,45,20,3,22,9949,6,12,42,20,6,0,3,9,6,9,1.66667,0.6,3
37,25,67,28,6,33,9923,10,12,61,28,9,0,6,15,9,16,1.66667,0.64,2.66667
38,19,73,28,7,38,9923,4,13,66,28,8,0,7,15,8,11,1.26667,0.578947,1.57143
39,26,82,30,9,43,9915,3,13,73,30,14,0,9,23,14,12,1.13043,0.461538,1.33333
40,24,45,15,7,23,9948,7,13,38,15,10,0,7,17,10,14,1.41176,0.583333,2
41,22,80,33,6,41,9914,6,13,74,33,10,0,6,16,10,12,1.375,0.545455,2
42,65,233,85,28,120,9750,17,13,205,85,20,0,28,48,20,45,1.35417,0.692308,1.60714
43,21,59,19,10,30,9937,4,13,49,19,7,0,10,17,7,14,1.23529,0.666667,1.4
44,19,60,20,8,32,9938,2,13,52,20,9,0,8,17,9,10,1.11765,0.526316,1.25
45,19,59,23,6,30,9938,3,13,53,23,10,0,6,16,10,9,1.1875,0.473684,1.5
46,19,93,39,7,47,9906,1,13,86,39,11,0,7,18,11,8,1.05556,0.421053,1.14286
47,24,66,23,9,34,9929,5,13,57,23,10,0,9,19,10,14,1.26316,0.583333,1.55556
48,30,66,24,8,34,9925,9,13,58,24,13,0,8,21,13,17,1.42857,0.566667,2.125
49,23,73,26,10,37,9919,8,13,63,26,5,0,10,15,5,18,1.53333,0.782609,1.8
50,19,53,19,7,27,9942,5,13,46,19,7,0,7,14,7,12,1.35714,0.631579,1.71429
51,19,73,29,7,37,9920,7,13,66,29,5,0,7,12,5,14,1.58333,0.736842,2
52,20,94,40,6,48,9900,6,13,88,40,8,0,6,14,8,12,1.42857,0.6,2
53,11,89,38,6,45,9908,3,13,83,38,2,0,6,8,2,9,1.375,0.818182,1.5
54,18,57,20,8,29,9939,4,13,49,20,6,0,8,14,6,12,1.28571,0.666667,1.5
55,19,69,29,4,36,9923,8,13,65,29,7,0,4,11,7,12,1.72727,0.631579,3
56,12,63,24,7,32,9937,0,13,56,24,5,0,7,12,5,7,1,0.583333,1
57,20,90,36,7,47,9902,8,13,83,36,5,0,7,12,5,15,1.66667,0.75,2.14286
58,10,61,26,4,31,9936,3,13,57,26,3,0,4,7,3,7,1.42857,0.7,1.75
59,32,100,39,9,52,9894,6,13,91,39,17,0,9,26,17,15,1.23077,0.46875,1.66667
60,15,66,26,7,33,9930,4,13,59,26,4,0,7,11,4,11,1.36364,0.733333,1.57143
61,14,70,29,5,36,9927,3,13,65,29,6,0,5,11,6,8,1.27273,0.571429,1.6
62,23,95,42,5,48,9895,10,13,90,42,8,0,5,13,8,15,1.76923,0.652174,3
63,26,78,33,6,39,9910,12,13,72,33,8,0,6,14,8,18,1.85714,0.692308,3
64,22,80,27,11,42,9920,0,13,69,27,11,0,11,22,11,11,1,0.5,1
65,18,65,25,7,33,9930,5,13,58,25,6,0,7,13,6,12,1.38462,0.666667,1.71429
66,14,40,15,5,20,9957,3,13,35,15,6,0,5,11,6,8,1.27273,0.571429,1.6
67,21,80,34,5,41,9917,3,13,75,34,13,0,5,18,13,8,1.16667,0.380952,1.6
68,23,59,25,5,29,9931,10,12,54,25,8,0,5,13,8,15,1.76923,0.652174,3
69,20,47,16,7,24,9948,5,13,40,16,8,0,7,15,8,12,1.33333,0.6,1.71429
70,18,79,35,4,40,9915,6,13,75,35,8,0,4,12,8,10,1.5,0.555556,2.5
71,15,91,40,5,46,9906,3,13,86,40,7,0,5,12,7,8,1.25,0.533333,1.6
72,11,90,37,7,46,9907,3,13,83,37,1,0,7,8,1,10,1.375,0.909091,1.42857
73,29,125,53,9,63,9862,13,13,116,53,7,0,9,16,7,22,1.8125,0.758621,2.44444
74,22,88,32,9,47,9908,4,13,79,32,9,0,9,18,9,13,1.22222,0.590909,1.44444
75,13,47,17,6,24,9949,4,13,41,17,3,0,6,9,3,10,1.44444,0.769231,1.66667
76,22,60,23,6,31,9935,5,13,54,23,11,0,6,17,11,11,1.29412,0.5,1.83333
77,34,138,52,15,71,9856,6,13,123,52,13,0,15,28,13,21,1.21429,0.617647,1.4
78,18,68,29,4,35,9924,8,13,64,29,6,0,4,10,6,12,1.8,0.666667,3
79,16,82,35,5,42,9914,4,13,77,35,7,0,5,12,7,9,1.33333,0.5625,1.8
80,23,95,40,7,48,9897,8,13,88,40,8,0,7,15,8,15,1.53333,0.652174,2.14286
81,14,92,41,4,47,9904,4,13,88,41,6,0,4,10,6,8,1.4,0.571429,2
