left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
55,29,129,51,11,67,9867,4,13,118,51,14,0,11,25,14,15,1.16,0.517241,1.36364
56,20,87,34,8,45,9912,1,13,79,34,11,0,8,19,11,9,1.05263,0.45,1.125
57,20,109,44,9,56,9889,2,13,100,44,9,0,9,18,9,11,1.11111,0.55,1.22222
58,26,89,33,9,47,9905,6,13,80,33,11,0,9,20,11,15,1.3,0.576923,1.66667
59,24,72,27,8,37,9921,7,13,64,27,9,0,8,17,9,15,1.41176,0.625,1.875
60,24,59,22,8,29,9936,5,12,51,22,11,0,8,19,11,13,1.26316,0.541667,1.625
61,17,119,53,6,60,9877,4,13,113,53,7,0,6,13,7,10,1.30769,0.588235,1.66667
62,21,108,41,11,56,9891,1,13,97,41,9,0,11,20,9,12,1.05,0.571429,1.09091
63,24,100,38,11,51,9895,5,13,89,38,8,0,11,19,8,16,1.26316,0.666667,1.45455
64,24,143,61,9,73,9855,2,13,134,61,13,0,9,22,13,11,1.09091,0.458333,1.22222
65,24,104,36,14,54,9893,3,13,90,36,7,0,14,21,7,17,1.14286,0.708333,1.21429
66,17,125,55,5,65,9875,0,13,120,55,12,0,5,17,12,5,1,0.294118,1
67,19,68,25,8,35,9928,4,13,60,25,7,0,8,15,7,12,1.26667,0.631579,1.5
68,24,134,58,8,68,9858,8,13,126,58,8,0,8,16,8,16,1.5,0.666667,2
69,27,86,33,9,44,9906,8,13,77,33,10,0,9,19,10,17,1.42105,0.62963,1.88889
70,20,78,32,7,39,9917,5,13,71,32,8,0,7,15,8,12,1.33333,0.6,1.71429
71,21,52,18,7,27,9943,5,13,45,18,9,0,7,16,9,12,1.3125,0.571429,1.71429
72,21,74,27,8,39,9922,4,13,66,27,9,0,8,17,9,12,1.23529,0.571429,1.5
73,25,105,43,8,54,9890,5,13,97,43,12,0,8,20,12,13,1.25,0.52,1.625
74,20,71,26,8,37,9928,1,13,63,26,11,0,8,19,11,9,1.05263,0.45,1.125
75,15,88,38,5,45,9912,0,13,83,38,10,0,5,15,10,5,1,0.333333,1
76,20,108,47,6,55,9887,5,13,102,47,9,0,6,15,9,11,1.33333,0.55,1.83333
77,9,46,19,3,24,9952,2,13,43,19,4,0,3,7,4,5,1.28571,0.555556,1.66667
78,29,129,51,12,66,9866,5,13,117,51,12,0,12,24,12,17,1.20833,0.586207,1.41667
79,19,57,23,6,28,9935,8,12,51,23,5,0,6,11,5,14,1.72727,0.736842,2.33333
80,26,95,39,7,49,9896,9,13,88,39,10,0,7,17,10,16,1.52941,0.615385,2.28571
81,27,63,28,3,32,9919,18,13,60,28,6,0,3,9,6,21,3,0.777778,7
82,18,71,28,7,36,9926,3,13,64,28,8,0,7,15,8,10,1.2,0.555556,1.42857
83,17,140,59,7,74,9859,1,13,133,59,9,0,7,16,9,8,1.0625,0.470588,1.14286
84,15,119,50,9,60,9879,2,13,110,50,4,0,9,13,4,11,1.15385,0.733333,1.22222
85,20,99,43,6,50,9897,4,13,93,43,10,0,6,16,10,10,1.25,0.5,1.66667
86,25,87,33,9,45,9907,6,13,78,33,10,0,9,19,10,15,1.31579,0.6,1.66667
87,17,71,29,6,36,9928,1,13,65,29,10,0,6,16,10,7,1.0625,0.411765,1.16667
88,16,108,46,5,57,9889,3,13,103,46,8,0,5,13,8,8,1.23077,0.5,1.6
89,18,122,50,9,63,9876,2,13,113,50,7,0,9,16,7,11,1.125,0.611111,1.22222
90,18,119,50,9,60,9879,2,13,110,50,7,0,9,16,7,11,1.125,0.611111,1.22222
91,19,80,34,5,41,9910,10,13,75,34,4,0,5,9,4,15,2.11111,0.789474,3
92,15,85,33,9,43,9912,3,13,76,33,3,0,9,12,3,12,1.25,0.8,1.33333
93,22,116,50,7,59,9877,7,13,109,50,8,0,7,15,8,14,1.46667,0.636364,2
94,15,80,33,6,41,9917,3,13,74,33,6,0,6,12,6,9,1.25,0.6,1.5
95,15,56,21,6,29,9944,0,13,50,21,9,0,6,15,9,6,1,0.4,1
96,21,89,36,8,45,9906,5,13,81,36,8,0,8,16,8,13,1.3125,0.619048,1.625
97,24,157,71,6,80,9837,6,13,151,71,12,0,6,18,12,12,1.33333,0.5,2
