left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
0,28,868,407,10,451,49131,1,15,858,407,17,0,10,27,17,11,1.03704,0.392857,1.1
1,28,786,372,8,406,49212,2,15,778,372,18,0,8,26,18,10,1.07692,0.357143,1.25
2,15,694,327,8,359,49306,0,15,686,327,7,0,8,15,7,8,1,0.533333,1
3,16,188,85,5,98,49810,2,15,183,85,9,0,5,14,9,7,1.14286,0.4375,1.4
4,12,174,80,3,91,49826,0,15,171,80,9,0,3,12,9,3,1,0.25,1
5,10,329,154,5,170,49671,0,15,324,154,5,0,5,10,5,5,1,0.5,1
6,21,251,112,4,135,49747,2,15,247,112,15,0,4,19,15,6,1.10526,0.285714,1.5
7,21,475,224,7,244,49523,2,15,468,224,12,0,7,19,12,9,1.10526,0.428571,1.28571
8,21,735,347,9,379,49264,1,15,726,347,11,0,9,20,11,10,1.05,0.47619,1.11111
9,23,451,206,10,235,49548,1,15,441,206,12,0,10,22,12,11,1.04545,0.478261,1.1
10,20,521,248,6,267,49478,1,15,515,248,13,0,6,19,13,7,1.05263,0.35,1.16667
11,21,339,147,10,182,49660,1,15,329,147,10,0,10,20,10,11,1.05,0.52381,1.1
12,18,267,121,5,141,49732,1,15,262,121,12,0,5,17,12,6,1.05882,0.333333,1.2
13,17,540,250,4,286,49460,0,15,536,250,13,0,4,17,13,4,1,0.235294,1
14,16,320,146,4,170,49679,1,15,316,146,11,0,4,15,11,5,1.06667,0.3125,1.25
15,5,561,272,3,286,49439,0,15,558,272,2,0,3,5,2,3,1,0.6,1
16,7,212,102,2,108,49787,1,15,210,102,4,0,2,6,4,3,1.16667,0.428571,1.5
17,23,634,294,10,330,49366,0,15,624,294,13,0,10,23,13,10,1,0.434783,1
18,20,839,405,4,430,49160,1,15,835,405,15,0,4,19,15,5,1.05263,0.25,1.25
19,17,212,95,5,112,49788,0,15,207,95,12,0,5,17,12,5,1,0.294118,1
20,25,520,243,4,273,49480,0,15,516,243,21,0,4,25,21,4,1,0.16,1
21,38,875,402,13,460,49123,2,15,862,402,23,0,13,36,23,15,1.05556,0.394737,1.15385
22,7,239,116,1,122,49761,0,15,238,116,6,0,1,7,6,1,1,0.142857,1
23,33,706,333,7,366,49292,2,15,699,333,24,0,7,31,24,9,1.06452,0.272727,1.28571
24,14,225,104,5,116,49774,1,15,220,104,8,0,5,13,8,6,1.07692,0.428571,1.2
25,17,474,221,4,249,49526,0,15,470,221,13,0,4,17,13,4,1,0.235294,1
26,11,232,110,4,118,49766,2,15,228,110,5,0,4,9,5,6,1.22222,0.545455,1.5
27,20,480,230,4,246,49517,3,15,476,230,13,0,4,17,13,7,1.17647,0.35,1.75
28,16,350,166,3,181,49650,0,15,347,166,13,0,3,16,13,3,1,0.1875,1
29,13,320,152,5,163,49676,4,15,315,152,4,0,5,9,4,9,1.44444,0.692308,1.8
30,33,271,114,11,146,49727,2,15,260,114,20,0,11,31,20,13,1.06452,0.393939,1.18182
31,36,617,278,16,323,49378,5,15,601,278,15,0,16,31,15,21,1.16129,0.583333,1.3125
32,21,763,365,7,391,49235,2,15,756,365,12,0,7,19,12,9,1.10526,0.428571,1.28571
