depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.845803,0.845813,0.845813,0.187325,0.187325,0.187325
1,2,20,0.845761,0.845802,0.845808,0.0468242,0.0471521,0.0472259
2,4,40,0.845523,0.845788,0.845808,0.0117765,0.0118647,0.0118753
3,8,80,0.42492,0.84572,0.845808,0.00292944,0.00299028,0.00299243
4,16,160,0.42429,0.845426,0.845747,0.000734653,0.000747948,0.000752927
5,32,320,0.422515,0.426769,0.43225,0.000180642,0.000188938,0.000194681
6,64,640,0.420374,0.426256,0.432088,4.44604e-05,4.83751e-05,5.03911e-05
7,128,1280,0.417002,0.424568,0.431486,1.09279e-05,1.21867e-05,1.32552e-05
8,256,2560,0.216072,0.422543,0.429444,2.58101e-06,3.08508e-06,3.47164e-06
9,512,5120,0.210011,0.414285,0.425864,5.82743e-07,7.50354e-07,9.52243e-07
10,1024,10240,0.202935,0.218726,0.240129,1.15269e-07,1.71952e-07,2.32751e-07
11,2048,20480,0.189589,0.212889,0.234928,1.78881e-08,3.37329e-08,5.34634e-08
12,4096,40960,0.152153,0.200442,0.226175,1.62885e-09,4.56677e-09,9.65976e-09
13,8192,81920,0.0887647,0.170867,0.210909,3.21283e-11,2.2763e-10,7.79431e-10
14,16384,163840,0.0343418,0.0924722,0.167115,3.70332e-16,1.30097e-13,5.62794e-12
15,17233,172330,0,0,0,0,0,0
