depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.881268,0.881341,0.881341,0.282489,0.282489,0.282489
1,2,20,0.881091,0.881314,0.881341,0.0705433,0.0706899,0.0707229
2,4,40,0.880724,0.881286,0.881341,0.0175597,0.0177716,0.0178161
3,8,80,0.443907,0.881106,0.881341,0.00441122,0.00453219,0.00453958
4,16,160,0.441059,0.880628,0.881258,0.00107264,0.00117133,0.00119786
5,32,320,0.43914,0.448815,0.461309,0.000266336,0.000291877,0.000308038
6,64,640,0.434964,0.447978,0.459286,6.43365e-05,7.29768e-05,8.17214e-05
7,128,1280,0.425603,0.445505,0.4583,1.50346e-05,1.87107e-05,2.20169e-05
8,256,2560,0.227738,0.439684,0.452928,3.23846e-06,4.49202e-06,5.85964e-06
9,512,5120,0.214137,0.420757,0.4457,6.23203e-07,9.95105e-07,1.3214e-06
10,1024,10240,0.198434,0.227427,0.257137,8.57294e-08,1.72592e-07,2.69469e-07
11,2048,20480,0.166055,0.212352,0.247184,5.69702e-09,1.87282e-08,4.32406e-08
12,4096,40960,0.0967462,0.177616,0.227271,3.70659e-11,4.62689e-10,2.20743e-09
13,8192,81920,0,0.0798506,0.169904,0,7.26318e-14,7.09052e-12
14,3617,36170,0,0,0,0,0,0
