depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.998058,0.998214,0.998238,0.991746,0.991746,0.991746
1,2,8,0.774729,0.997651,0.998181,0.26086,0.271361,0.273724
2,4,16,0.499583,0.525462,0.548541,0.0666917,0.0680054,0.0680374
3,8,32,0.397407,0.517501,0.526816,0.0168958,0.0192593,0.0200915
4,16,64,0.254315,0.271398,0.286667,0.00438531,0.00495628,0.00552366
5,32,128,0.210822,0.266623,0.272968,0.00118456,0.00139838,0.00149
6,64,256,0.13015,0.145954,0.156401,0.000306165,0.000369296,0.000444702
7,128,512,0.117672,0.138354,0.151539,8.50502e-05,0.000111725,0.000134903
8,256,1024,0.0676698,0.0805549,0.0910692,2.266e-05,3.00562e-05,4.08963e-05
9,512,2048,0.0572281,0.072404,0.0849031,6.44545e-06,9.35923e-06,1.28226e-05
10,1024,4096,0.0351629,0.0456442,0.0571006,1.71101e-06,2.50502e-06,3.75504e-06
11,2048,8192,0.0285883,0.0383476,0.0503265,4.66404e-07,7.97229e-07,1.34716e-06
12,4096,16384,0.0178465,0.0254986,0.0354554,1.073e-07,2.03966e-07,3.53415e-07
13,8192,32768,0.0126661,0.0198673,0.0290674,2.22697e-08,5.27562e-08,1.06822e-07
14,16384,65536,0.00706253,0.0125999,0.0209192,2.3522e-09,8.47409e-09,2.28953e-08
15,32768,131072,0.00236148,0.00705539,0.0141277,1.68147e-11,3.19777e-10,2.16782e-09
16,34465,137860,0,0,0,0,0,0
