depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.997671,0.998161,0.998254,0.986104,0.986104,0.986104
1,2,12,0.997251,0.99777,0.998,0.258761,0.266368,0.26808
2,4,24,0.513072,0.997293,0.99795,0.0654662,0.0692433,0.0706355
3,8,48,0.500427,0.528506,0.54298,0.0166814,0.0179536,0.0189175
4,16,96,0.495999,0.518029,0.528709,0.00434324,0.00508604,0.00557118
5,32,192,0.264627,0.502571,0.526714,0.0010983,0.00130312,0.00139212
6,64,384,0.253828,0.271658,0.291297,0.000281538,0.000321015,0.000370222
7,128,768,0.246897,0.261454,0.278121,7.11562e-05,8.78347e-05,0.000105897
8,256,1536,0.134949,0.254967,0.270262,1.73998e-05,2.26423e-05,2.88283e-05
9,512,3072,0.125857,0.139062,0.157347,4.05747e-06,5.58769e-06,7.30677e-06
10,1024,6144,0.115558,0.132449,0.148934,9.1404e-07,1.38793e-06,1.98458e-06
11,2048,12288,0.0664644,0.122151,0.139574,1.68891e-07,3.02982e-07,4.68893e-07
12,4096,24576,0.0534244,0.0687273,0.0849202,2.19592e-08,5.41276e-08,1.06708e-07
13,8192,49152,0.0349336,0.0577113,0.0755241,1.23339e-09,5.72254e-09,1.66734e-08
14,16384,98304,0.0115381,0.033169,0.0592153,8.2649e-13,5.45094e-11,6.52099e-10
15,17233,103398,0,0,0,0,0,0
