group_size,count
1,4696
2,5739
3,5700
4,5085
5,4279
6,3482
7,2733
8,2183
9,1663
10,1176
11,932
12,659
13,474
14,321
15,211
16,155
17,114
18,70
19,43
20,37
21,27
22,9
23,5
24,6
25,7
26,7
28,2
30,1
31,2
32,1
