depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.982206,0.987564,0.987619,0.864058,0.864058,0.864058
1,2,16,0.976022,0.985004,0.987293,0.277484,0.313789,0.321958
2,4,32,0.876117,0.981178,0.986736,0.0720049,0.097382,0.106565
3,8,64,0.513942,0.967873,0.97848,0.0191441,0.0240625,0.0288556
4,16,128,0.5039,0.592808,0.771477,0.00485814,0.00580545,0.00779529
5,32,256,0.467598,0.540635,0.680048,0.00109675,0.00161382,0.00164885
6,64,512,0.377841,0.501404,0.615184,0.000204882,0.000330953,0.000441221
7,128,1024,0.243538,0.44602,0.521301,2.47907e-05,4.80418e-05,0.000104477
8,256,2048,0.188871,0.257495,0.349836,1.27851e-06,4.13604e-06,1.05808e-05
9,512,4096,0.0982669,0.195184,0.270517,4.80642e-09,6.7959e-08,5.29103e-07
10,977,7816,0,0,0,0,0,0
