depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.98689,0.990724,0.99154,0.926738,0.926738,0.926738
1,2,12,0.983328,0.985298,0.986239,0.242274,0.251478,0.253549
2,4,24,0.522916,0.981476,0.985775,0.0648697,0.0689791,0.0690796
3,8,48,0.491667,0.540764,0.572597,0.0165482,0.0177231,0.0179325
4,16,96,0.473272,0.520826,0.567427,0.00396973,0.00474162,0.00571305
5,32,192,0.264381,0.491507,0.529213,0.000898403,0.00118286,0.00169395
6,64,384,0.234185,0.274591,0.322152,0.000165992,0.000288364,0.000358846
7,128,768,0.195289,0.25289,0.293458,2.84545e-05,6.82206e-05,0.000103387
8,256,1536,0.113431,0.208369,0.266881,2.27295e-06,6.88907e-06,1.85218e-05
9,512,3072,0.0584061,0.112202,0.155221,2.35126e-08,3.28783e-07,1.07852e-06
10,977,5862,0,0,0,0,0,0
