depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.984077,0.984113,0.984113,0.937811,0.937811,0.937811
1,2,8,0.7388,0.984041,0.984041,0.234417,0.235636,0.235911
2,4,16,0.492,0.495315,0.496958,0.05818,0.0597068,0.0601407
3,8,32,0.368271,0.49652,0.496958,0.0144773,0.0152271,0.0152478
4,16,64,0.246007,0.249932,0.258441,0.00366924,0.00384806,0.00392282
5,32,128,0.180289,0.248354,0.257888,0.000913478,0.000978773,0.00099074
6,64,256,0.122229,0.127592,0.132884,0.00022385,0.000249998,0.000279697
7,128,512,0.0902102,0.126161,0.132648,5.49595e-05,6.79029e-05,7.22274e-05
8,256,1024,0.0600925,0.0663924,0.0722595,1.29476e-05,1.7757e-05,2.08661e-05
9,512,2048,0.0415487,0.0638929,0.0704883,2.86542e-06,4.38843e-06,6.09092e-06
10,1024,4096,0.0274728,0.0342408,0.0412275,5.70779e-07,1.04347e-06,1.64781e-06
11,2048,8192,0.0170478,0.0296651,0.0381395,8.08089e-08,2.19825e-07,4.06335e-07
12,4096,16384,0.00851114,0.0150289,0.0207731,4.65472e-09,2.66645e-08,8.103e-08
13,8192,32768,0,0.00616783,0.0140988,0,4.47133e-10,6.3028e-09
14,3617,14468,0,0,0,0,0,0
