depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.990041,0.993293,0.993669,0.903056,0.903056,0.903056
1,2,20,0.987394,0.990501,0.992999,0.333517,0.398313,0.412892
2,4,40,0.983897,0.989782,0.992732,0.116378,0.161317,0.17825
3,8,80,0.93939,0.985953,0.990921,0.0387406,0.0591491,0.0779682
4,16,160,0.525661,0.981691,0.987256,0.0128879,0.0200728,0.0282516
5,32,320,0.519129,0.887681,0.975796,0.00392598,0.00612974,0.00880501
6,64,640,0.510801,0.812,0.948654,0.001099,0.00265521,0.00438435
7,128,1280,0.48876,0.698396,0.914877,0.000325253,0.000741072,0.00143041
8,256,2560,0.43851,0.585423,0.832077,8.34766e-05,0.000205946,0.000399132
9,512,5120,0.297362,0.502231,0.700231,1.90226e-05,4.52396e-05,0.000116435
10,1024,10240,0.270163,0.39796,0.524381,3.36731e-06,7.79742e-06,1.74713e-05
11,2048,20480,0.242601,0.334322,0.471872,4.96086e-07,1.29356e-06,2.94038e-06
12,4096,40960,0.196056,0.274403,0.417139,3.98223e-08,1.35974e-07,3.64404e-07
13,8192,81920,0.124346,0.222869,0.33542,6.94453e-10,4.75237e-09,1.90967e-08
14,16384,163840,0.0477894,0.130995,0.235394,7.48066e-15,1.52282e-12,6.82647e-11
15,17233,172330,0,0,0,0,0,0
