depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.978167,0.98234,0.986971,0.841116,0.841116,0.841116
1,2,16,0.973919,0.979278,0.985531,0.30852,0.35518,0.365679
2,4,32,0.960813,0.975803,0.984386,0.108403,0.146094,0.160352
3,8,64,0.540433,0.96858,0.982258,0.0387807,0.0511303,0.0622526
4,16,128,0.525686,0.936481,0.968627,0.0125364,0.0188721,0.0200373
5,32,256,0.507967,0.855131,0.953433,0.00388784,0.00871832,0.0107771
6,64,512,0.452906,0.72866,0.938243,0.0011744,0.00260068,0.00452534
7,128,1024,0.35964,0.53136,0.856498,0.000327983,0.000714194,0.00144328
8,256,2048,0.2843,0.447374,0.614159,6.79284e-05,0.00017359,0.000318274
9,512,4096,0.247257,0.380584,0.548644,1.0663e-05,3.24935e-05,7.59115e-05
10,1024,8192,0.185435,0.293904,0.471139,9.46471e-07,3.61779e-06,8.61268e-06
11,2048,16384,0.107754,0.215005,0.369737,1.4459e-08,1.12045e-07,4.78391e-07
12,4096,32768,0,0.0929976,0.21995,0,7.30821e-11,3.73816e-09
13,1809,14472,0,0,0,0,0,0
