group_idx,group_size,K_point,K_subtree
0,92,21,71
1,27,9,18
2,104,32,72
3,172,42,130
4,104,19,85
5,123,24,99
6,154,36,118
7,93,24,69
8,89,27,62
9,119,18,101
10,118,36,82
11,116,37,79
12,89,21,68
13,139,29,110
14,77,14,63
15,115,20,95
16,114,31,83
17,96,17,79
18,81,23,58
19,193,27,166
20,136,41,95
21,77,16,61
22,72,16,56
23,72,15,57
24,78,16,62
25,136,34,102
26,74,19,55
27,45,17,28
28,131,31,100
29,60,8,52
30,125,26,99
31,114,34,80
32,131,29,102
33,115,36,79
34,119,29,90
35,50,15,35
36,75,9,66
37,123,31,92
38,84,14,70
39,126,17,109
40,100,22,78
41,101,32,69
42,121,25,96
43,95,28,67
44,67,14,53
45,81,22,59
46,36,13,23
47,76,16,60
48,111,20,91
49,92,30,62
50,54,9,45
51,78,15,63
52,78,8,70
53,87,22,65
54,103,31,72
55,84,12,72
56,76,16,60
57,180,48,132
58,102,31,71
59,109,23,86
60,31,14,17
61,125,27,98
62,99,25,74
63,93,21,72
64,107,32,75
65,126,22,104
66,119,31,88
67,63,4,59
68,96,17,79
69,91,15,76
70,96,19,77
71,130,33,97
72,109,21,88
73,112,17,95
74,48,17,31
75,136,20,116
76,78,21,57
77,122,23,99
78,134,31,103
79,122,24,98
80,93,21,72
81,79,18,61
82,127,16,111
83,112,23,89
84,86,26,60
85,138,14,124
86,95,23,72
87,93,24,69
88,103,17,86
89,28,7,21
90,97,20,77
91,105,21,84
92,87,11,76
93,85,20,65
94,99,28,71
95,151,17,134
96,85,22,63
97,153,36,117
98,51,8,43
99,105,22,83
100,44,9,35
101,102,18,84
102,112,15,97
103,124,24,100
104,76,25,51
105,42,15,27
106,89,20,69
107,107,26,81
108,130,33,97
109,145,39,106
110,96,19,77
111,94,21,73
112,118,7,111
113,72,15,57
114,115,26,89
115,123,36,87
116,160,49,111
117,150,41,109
118,141,28,113
119,55,15,40
120,121,29,92
121,97,26,71
122,103,23,80
123,194,42,152
124,70,14,56
125,149,19,130
126,130,39,91
127,52,19,33
128,87,23,64
129,107,24,83
130,131,43,88
131,127,31,96
132,108,26,82
133,103,29,74
134,68,12,56
135,73,14,59
136,94,10,84
137,39,7,32
138,124,40,84
139,127,38,89
140,145,20,125
141,95,9,86
142,151,34,117
143,95,18,77
144,134,40,94
145,101,31,70
146,95,25,70
147,92,27,65
148,93,20,73
149,110,25,85
150,161,46,115
151,95,11,84
152,106,31,75
153,135,31,104
154,147,53,94
155,105,19,86
156,48,9,39
157,34,10,24
158,89,22,67
159,121,32,89
160,138,26,112
161,45,9,36
162,83,15,68
163,77,33,44
164,116,15,101
165,81,21,60
166,72,18,54
167,71,11,60
168,133,17,116
169,68,12,56
170,58,5,53
171,53,19,34
172,105,15,90
173,120,16,104
174,98,14,84
175,199,45,154
176,112,22,90
177,99,12,87
178,119,19,100
179,66,13,53
180,104,23,81
181,65,14,51
182,131,47,84
183,134,16,118
184,104,24,80
185,72,19,53
186,132,26,106
187,60,20,40
188,43,11,32
189,86,25,61
190,62,16,46
191,88,24,64
192,115,27,88
193,87,10,77
194,82,13,69
195,54,15,39
196,101,25,76
197,90,24,66
198,120,25,95
199,82,30,52
200,69,12,57
201,101,18,83
202,75,12,63
203,61,15,46
204,119,21,98
205,103,22,81
206,138,42,96
207,117,19,98
208,91,23,68
209,137,27,110
210,105,34,71
211,79,18,61
212,98,21,77
213,111,24,87
214,58,14,44
215,105,20,85
216,125,21,104
217,131,26,105
218,117,29,88
219,57,11,46
220,76,18,58
221,77,12,65
222,45,6,39
223,115,37,78
224,64,5,59
225,108,20,88
226,78,15,63
227,116,26,90
228,96,17,79
229,123,23,100
230,131,21,110
231,109,29,80
232,77,13,64
233,131,22,109
234,53,5,48
235,100,28,72
236,116,37,79
237,107,15,92
238,79,17,62
239,101,16,85
240,100,21,79
241,136,31,105
242,118,34,84
243,121,34,87
244,135,29,106
245,53,6,47
246,129,27,102
247,112,29,83
248,73,19,54
249,102,28,74
250,104,26,78
251,136,30,106
252,88,27,61
253,75,19,56
254,108,34,74
255,130,36,94
256,81,18,63
257,120,35,85
258,96,17,79
259,122,24,98
260,108,21,87
261,89,24,65
262,122,36,86
263,99,18,81
264,74,12,62
265,97,17,80
266,114,27,87
267,133,41,92
268,75,17,58
269,80,19,61
270,122,26,96
271,117,29,88
272,101,24,77
273,95,14,81
274,143,39,104
275,66,21,45
276,132,35,97
277,131,32,99
278,85,18,67
279,57,11,46
280,118,28,90
281,145,26,119
282,124,38,86
283,122,32,90
284,120,27,93
285,101,15,86
286,97,9,88
287,146,46,100
288,101,31,70
289,113,31,82
290,88,14,74
291,54,19,35
292,102,27,75
293,55,10,45
294,110,34,76
295,115,27,88
296,115,19,96
297,129,25,104
298,119,35,84
299,142,42,100
300,236,49,187
301,93,21,72
302,138,40,98
303,42,6,36
304,117,32,85
305,123,14,109
306,137,35,102
307,44,8,36
308,116,28,88
309,54,18,36
310,83,31,52
311,70,15,55
312,75,8,67
313,131,27,104
314,66,27,39
315,99,21,78
316,157,36,121
317,51,9,42
318,43,8,35
319,87,27,60
320,134,35,99
321,52,9,43
322,126,22,104
323,94,15,79
324,126,18,108
325,101,39,62
326,122,33,89
327,101,17,84
328,112,30,82
329,29,3,26
330,130,28,102
331,61,10,51
332,87,17,70
333,135,34,101
334,134,36,98
335,110,31,79
336,54,17,37
337,126,23,103
338,138,33,105
339,87,18,69
340,123,24,99
341,124,20,104
342,107,25,82
343,117,29,88
344,30,5,25
345,112,17,95
346,56,7,49
347,108,30,78
348,42,17,25
349,67,16,51
350,114,19,95
351,80,21,59
352,110,28,82
353,131,24,107
354,85,26,59
355,92,17,75
356,138,29,109
357,99,18,81
358,75,17,58
359,130,34,96
360,114,20,94
361,110,26,84
362,159,28,131
363,78,11,67
364,102,20,82
365,121,17,104
366,55,15,40
367,124,21,103
368,117,25,92
369,94,28,66
370,61,15,46
371,102,28,74
372,69,14,55
373,52,12,40
374,41,5,36
375,97,24,73
376,36,10,26
377,128,37,91
378,29,8,21
379,135,30,105
380,112,27,85
381,100,16,84
382,89,22,67
383,71,13,58
384,93,27,66
385,91,14,77
386,104,27,77
387,120,32,88
388,149,30,119
389,113,20,93
390,94,25,69
391,57,19,38
392,124,29,95
393,138,23,115
394,89,28,61
395,96,21,75
396,92,16,76
397,125,26,99
398,100,24,76
399,44,17,27
400,98,18,80
401,75,25,50
402,83,7,76
403,114,32,82
404,119,31,88
405,113,24,89
406,103,16,87
407,123,29,94
408,95,28,67
409,55,18,37
410,121,24,97
411,105,31,74
412,108,14,94
413,160,39,121
414,60,7,53
415,115,25,90
416,114,12,102
417,53,13,40
418,57,13,44
419,79,25,54
420,49,15,34
421,136,36,100
422,117,45,72
423,84,25,59
424,101,32,69
425,141,40,101
426,112,31,81
427,47,17,30
428,93,33,60
429,128,34,94
430,197,59,138
431,112,27,85
432,68,17,51
433,135,19,116
434,103,18,85
435,112,26,86
436,63,11,52
437,185,54,131
438,101,24,77
439,108,26,82
440,130,32,98
441,55,4,51
442,122,28,94
443,123,34,89
444,25,8,17
445,85,8,77
446,123,27,96
447,54,13,41
448,50,15,35
449,82,11,71
450,128,45,83
451,125,26,99
452,99,22,77
453,114,33,81
454,52,10,42
455,119,43,76
456,147,57,90
457,129,29,100
458,105,24,81
459,51,15,36
460,116,23,93
461,83,18,65
462,96,24,72
463,146,33,113
464,83,18,65
465,127,36,91
466,144,34,110
467,71,12,59
468,89,23,66
469,118,29,89
470,68,20,48
471,113,20,93
472,107,23,84
473,103,26,77
474,104,29,75
475,110,20,90
476,78,9,69
477,113,14,99
478,102,31,71
479,94,14,80
480,107,20,87
481,102,23,79
482,102,21,81
483,161,43,118
484,69,14,55
485,134,30,104
486,118,24,94
487,119,27,92
488,127,37,90
489,46,7,39
490,83,22,61
491,104,21,83
492,167,49,118
493,88,22,66
494,116,29,87
495,43,12,31
496,75,3,72
497,86,24,62
498,99,27,72
499,110,34,76
500,104,18,86
501,28,10,18
502,104,36,68
503,119,24,95
504,79,5,74
505,76,10,66
506,107,23,84
507,90,13,77
508,85,23,62
509,66,12,54
510,101,43,58
511,75,20,55
512,129,28,101
513,89,26,63
514,104,23,81
515,120,32,88
