group_size,count
5,1
8,2
10,3
11,3
12,1
13,4
14,1
16,2
17,3
18,4
19,6
20,1
21,5
22,10
23,6
24,6
25,6
26,4
27,4
28,7
29,7
30,10
31,7
32,14
33,6
34,8
35,9
36,7
37,8
38,10
39,10
40,7
41,13
42,11
43,11
44,12
45,11
46,15
47,10
48,12
49,10
50,14
51,17
52,16
53,18
54,18
55,16
56,12
57,17
58,14
59,18
60,7
61,12
62,20
63,14
64,16
65,16
66,10
67,13
68,13
69,25
70,11
71,14
72,19
73,13
74,16
75,14
76,21
77,15
78,21
79,22
80,19
81,15
82,11
83,14
84,17
85,14
86,22
87,13
88,10
89,16
90,11
91,16
92,14
93,21
94,21
95,23
96,15
97,14
98,23
99,9
100,11
101,20
102,10
103,12
104,18
105,15
106,20
107,15
108,19
109,15
110,10
111,13
112,16
113,9
114,15
115,18
116,6
117,9
118,11
119,10
120,18
121,7
122,8
123,8
124,14
125,14
126,12
127,12
128,9
129,11
130,11
131,14
132,12
133,17
134,9
135,9
136,11
137,9
138,8
139,3
140,10
141,13
142,11
143,11
144,15
145,12
146,5
147,12
148,10
149,9
150,5
151,9
152,8
153,12
154,9
155,7
156,8
157,7
158,8
159,5
160,12
161,11
162,7
163,6
164,6
165,9
166,6
167,4
168,6
169,5
170,3
171,10
172,3
173,6
174,8
175,7
176,6
177,9
178,5
179,3
180,4
181,3
182,5
183,3
184,7
185,4
186,2
187,3
188,4
189,2
190,1
191,3
192,3
193,3
194,2
195,4
196,2
197,3
198,3
199,3
200,4
203,1
204,1
205,1
206,1
207,3
208,4
209,2
210,2
211,3
212,1
214,2
215,2
216,1
217,1
218,1
219,2
220,1
221,2
222,1
225,2
226,2
227,2
228,1
229,1
231,2
232,1
236,1
237,2
239,1
247,1
261,1
