depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.816641,0.816988,0.816988,0.13193,0.13193,0.13193
1,2,20,0.816224,0.816824,0.816842,0.0328475,0.0338068,0.0340227
2,4,40,0.811488,0.816258,0.816822,0.00816579,0.0083925,0.00842077
3,8,80,0.41835,0.814069,0.816424,0.00195233,0.00218011,0.0022474
4,16,160,0.408696,0.806307,0.815651,0.000464175,0.000528285,0.000585337
5,32,320,0.39421,0.419948,0.440475,9.32065e-05,0.000120543,0.000135795
6,64,640,0.378987,0.411076,0.434847,1.66476e-05,2.48382e-05,3.92119e-05
7,128,1280,0.317752,0.392418,0.431097,1.91145e-06,4.05893e-06,7.05351e-06
8,256,2560,0.187039,0.346947,0.401898,7.80946e-08,3.58666e-07,7.87905e-07
9,512,5120,0.103851,0.221269,0.34846,7.2809e-11,2.65136e-09,2.11384e-08
10,977,9770,0,0,0,0,0,0
