depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.974313,0.981688,0.983132,0.778091,0.778091,0.778091
1,2,20,0.967145,0.976821,0.98091,0.247105,0.28432,0.292693
2,4,40,0.957392,0.972422,0.976572,0.0650085,0.11228,0.130487
3,8,80,0.671213,0.966533,0.972878,0.0197683,0.0335233,0.0380573
4,16,160,0.510627,0.937962,0.965652,0.00478121,0.00807734,0.00895026
5,32,320,0.482767,0.634649,0.832674,0.000919102,0.00176451,0.0025298
6,64,640,0.44461,0.545486,0.750137,0.000159816,0.000364902,0.000511457
7,128,1280,0.377981,0.482978,0.669499,1.89903e-05,4.19975e-05,8.82646e-05
8,256,2560,0.243867,0.417577,0.550611,8.09416e-07,3.10154e-06,9.77189e-06
9,512,5120,0.130303,0.276149,0.417081,7.77363e-10,1.67609e-08,1.20564e-07
10,977,9770,0,0,0,0,0,0
