depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.963712,0.963732,0.963732,0.801119,0.801119,0.801119
1,2,12,0.96364,0.963711,0.963712,0.200238,0.200246,0.200248
2,4,24,0.483902,0.963615,0.963691,0.0500456,0.0511241,0.0512152
3,8,48,0.48176,0.485927,0.487523,0.0125578,0.0127818,0.0129138
4,16,96,0.477729,0.485879,0.487523,0.00314168,0.00326965,0.00327728
5,32,192,0.244221,0.482599,0.484887,0.000779649,0.000825991,0.000840981
6,64,384,0.239713,0.246916,0.253288,0.000191361,0.00021342,0.000223529
7,128,768,0.235867,0.246325,0.25302,4.77227e-05,5.31096e-05,5.70623e-05
8,256,1536,0.122398,0.242303,0.252055,1.14204e-05,1.38522e-05,1.56533e-05
9,512,3072,0.117983,0.126647,0.137084,2.68556e-06,3.44776e-06,4.50756e-06
10,1024,6144,0.109614,0.124009,0.134588,5.74343e-07,8.42233e-07,1.19119e-06
11,2048,12288,0.0602837,0.116633,0.131022,1.09793e-07,1.91417e-07,2.99509e-07
12,4096,24576,0.0501709,0.0633564,0.0766838,1.45511e-08,3.58865e-08,7.06343e-08
13,8192,49152,0.0326298,0.0544422,0.0708757,7.89335e-10,3.9459e-09,1.16954e-08
14,16384,98304,0.0102741,0.0306862,0.0549084,5.32278e-13,3.80116e-11,5.10381e-10
15,17233,103398,0,0,0,0,0,0
