depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.881322,0.881362,0.881362,0.282721,0.282721,0.282721
1,2,20,0.881294,0.881355,0.881357,0.0706499,0.0709115,0.0709704
2,4,40,0.880997,0.881261,0.881322,0.0175862,0.0181614,0.0182331
3,8,80,0.446189,0.881099,0.881322,0.00435889,0.00463141,0.00463441
4,16,160,0.441495,0.879911,0.881091,0.0010949,0.00118015,0.00119932
5,32,320,0.439258,0.446681,0.467058,0.000273215,0.000292002,0.000311715
6,64,640,0.433929,0.446175,0.466804,6.51688e-05,7.2148e-05,7.93773e-05
7,128,1280,0.427359,0.443076,0.462134,1.491e-05,1.86476e-05,2.06831e-05
8,256,2560,0.226813,0.437184,0.456697,3.3236e-06,4.56977e-06,5.78947e-06
9,512,5120,0.214101,0.420112,0.449957,6.34734e-07,1.01372e-06,1.44885e-06
10,1024,10240,0.198597,0.227134,0.265033,8.65119e-08,1.82144e-07,2.88453e-07
11,2048,20480,0.165507,0.212497,0.25083,5.55586e-09,1.93511e-08,4.5717e-08
12,4096,40960,0.0968831,0.177651,0.226862,3.86646e-11,4.61643e-10,2.61283e-09
13,8192,81920,0,0.0808508,0.173525,0,8.18102e-14,7.05533e-12
14,3617,36170,0,0,0,0,0,0
