left_idx,w,V_count,P_count,C_count,H_count,S_prune,S_contain,D_count_max,V_search,P_search,B_mid,B_leaf,B_subtree,m,M_point,M_subtree,rho,sigma,avg_subtree_mass
803,8,138,67,2,69,19862,0,14,136,67,6,0,2,8,6,2,1,0.25,1
804,11,87,40,4,43,19912,1,13,83,40,6,0,4,10,6,5,1.1,0.454545,1.25
805,3,44,21,1,22,19955,1,14,43,21,1,0,1,2,1,2,1.5,0.666667,2
806,21,317,146,7,164,19683,0,14,310,146,14,0,7,21,14,7,1,0.333333,1
807,13,168,76,3,89,19832,0,14,165,76,10,0,3,13,10,3,1,0.230769,1
808,24,224,95,11,118,19775,1,14,213,95,12,0,11,23,12,12,1.04348,0.5,1.09091
809,40,439,195,19,225,19559,2,14,420,195,19,0,19,38,19,21,1.05263,0.525,1.10526
810,5,54,24,1,29,19946,0,14,53,24,4,0,1,5,4,1,1,0.2,1
811,14,96,44,3,49,19901,3,14,93,44,8,0,3,11,8,6,1.27273,0.428571,2
812,36,374,169,14,191,19621,5,14,360,169,17,0,14,31,17,19,1.16129,0.527778,1.35714
813,10,119,54,5,60,19880,1,14,114,54,4,0,5,9,4,6,1.11111,0.6,1.2
814,19,101,45,4,52,19898,1,14,97,45,14,0,4,18,14,5,1.05556,0.263158,1.25
815,12,123,55,4,64,19877,0,14,119,55,8,0,4,12,8,4,1,0.333333,1
816,24,207,95,5,107,19790,3,14,202,95,16,0,5,21,16,8,1.14286,0.333333,1.6
817,10,120,53,4,63,19880,0,14,116,53,6,0,4,10,6,4,1,0.4,1
818,26,370,169,13,188,19628,2,14,357,169,11,0,13,24,11,15,1.08333,0.576923,1.15385
819,25,161,68,9,84,19838,1,14,152,68,15,0,9,24,15,10,1.04167,0.4,1.11111
820,15,126,54,6,66,19874,0,14,120,54,9,0,6,15,9,6,1,0.4,1
821,16,155,66,8,81,19843,2,14,147,66,6,0,8,14,6,10,1.14286,0.625,1.25
822,19,197,90,5,102,19803,0,14,192,90,14,0,5,19,14,5,1,0.263158,1
823,21,220,94,10,116,19779,1,14,210,94,10,0,10,20,10,11,1.05,0.52381,1.1
824,18,125,56,6,63,19868,7,14,119,56,5,0,6,11,5,13,1.63636,0.722222,2.16667
825,32,232,98,15,119,19765,3,14,217,98,14,0,15,29,14,18,1.10345,0.5625,1.2
826,7,30,13,2,15,19967,3,14,28,13,2,0,2,4,2,5,1.75,0.714286,2.5
827,6,98,44,4,50,19901,1,14,94,44,1,0,4,5,1,5,1.2,0.833333,1.25
828,26,352,159,12,181,19647,1,14,340,159,13,0,12,25,13,13,1.04,0.5,1.08333
829,19,238,108,7,123,19762,0,14,231,108,12,0,7,19,12,7,1,0.368421,1
830,36,266,118,10,138,19730,4,14,256,118,22,0,10,32,22,14,1.125,0.388889,1.4
831,21,189,81,8,100,19811,0,14,181,81,13,0,8,21,13,8,1,0.380952,1
832,18,214,95,8,111,19786,0,14,206,95,10,0,8,18,10,8,1,0.444444,1
833,7,261,125,3,133,19739,0,14,258,125,4,0,3,7,4,3,1,0.428571,1
834,19,157,69,6,82,19841,2,14,151,69,11,0,6,17,11,8,1.11765,0.421053,1.33333
835,18,120,49,8,63,19874,6,14,112,49,4,0,8,12,4,14,1.5,0.777778,1.75
836,31,314,146,6,162,19685,1,14,308,146,24,0,6,30,24,7,1.03333,0.225806,1.16667
837,21,405,189,6,210,19595,0,14,399,189,15,0,6,21,15,6,1,0.285714,1
838,14,125,54,6,65,19874,1,14,119,54,7,0,6,13,7,7,1.07692,0.5,1.16667
839,23,365,172,8,185,19630,5,14,357,172,10,0,8,18,10,13,1.27778,0.565217,1.625
840,22,144,62,6,76,19854,2,14,138,62,14,0,6,20,14,8,1.1,0.363636,1.33333
841,16,161,72,7,82,19837,2,14,154,72,7,0,7,14,7,9,1.14286,0.5625,1.28571
842,30,523,239,16,268,19477,0,14,507,239,14,0,16,30,14,16,1,0.533333,1
843,31,218,92,15,111,19781,1,14,203,92,15,0,15,30,15,16,1.03333,0.516129,1.06667
844,23,255,113,10,132,19745,0,14,245,113,13,0,10,23,13,10,1,0.434783,1
845,25,284,126,11,147,19714,2,14,273,126,12,0,11,23,12,13,1.08696,0.52,1.18182
846,22,145,59,11,75,19853,2,14,134,59,9,0,11,20,9,13,1.1,0.590909,1.18182
847,15,208,97,5,106,19792,0,14,203,97,10,0,5,15,10,5,1,0.333333,1
848,6,98,47,1,50,19902,0,14,97,47,5,0,1,6,5,1,1,0.166667,1
849,18,312,141,8,163,19687,1,14,304,141,9,0,8,17,9,9,1.05882,0.5,1.125
850,9,107,51,2,54,19892,1,14,105,51,6,0,2,8,6,3,1.125,0.333333,1.5
851,10,255,118,4,133,19745,0,14,251,118,6,0,4,10,6,4,1,0.4,1
852,26,151,64,7,80,19847,2,14,144,64,17,0,7,24,17,9,1.08333,0.346154,1.28571
853,28,234,104,8,122,19766,0,14,226,104,20,0,8,28,20,8,1,0.285714,1
854,28,292,132,12,148,19707,1,14,280,132,15,0,12,27,15,13,1.03704,0.464286,1.08333
855,16,273,128,6,139,19721,6,14,267,128,4,0,6,10,4,12,1.6,0.75,2
856,20,258,117,7,134,19741,1,14,251,117,12,0,7,19,12,8,1.05263,0.4,1.14286
857,23,170,72,9,89,19828,2,14,161,72,12,0,9,21,12,11,1.09524,0.478261,1.22222
858,26,195,88,5,102,19803,2,14,190,88,19,0,5,24,19,7,1.08333,0.269231,1.4
859,17,94,40,5,49,19905,1,14,89,40,11,0,5,16,11,6,1.0625,0.352941,1.2
