depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.995443,0.997055,0.99815,0.975642,0.975642,0.975642
1,2,12,0.994729,0.995315,0.997944,0.267422,0.28345,0.287056
2,4,24,0.541232,0.99508,0.997521,0.0718276,0.0805915,0.0836646
3,8,48,0.500348,0.574231,0.592705,0.0183911,0.0213834,0.0225418
4,16,96,0.496318,0.549938,0.588802,0.00507138,0.00742278,0.0101538
5,32,192,0.299007,0.501608,0.563851,0.00141231,0.0019148,0.00281839
6,64,384,0.258467,0.300698,0.349211,0.000357826,0.000483548,0.000625154
7,128,768,0.250459,0.28396,0.322477,9.93438e-05,0.000149033,0.000211622
8,256,1536,0.153431,0.261307,0.295367,2.50677e-05,3.77268e-05,5.5538e-05
9,512,3072,0.131816,0.16121,0.205547,5.99234e-06,9.17486e-06,1.31986e-05
10,1024,6144,0.118951,0.144367,0.181203,1.4269e-06,2.42319e-06,4.07838e-06
11,2048,12288,0.074926,0.12684,0.156067,2.74815e-07,5.28896e-07,9.13137e-07
12,4096,24576,0.0574495,0.0773579,0.107152,3.5703e-08,8.82842e-08,1.75332e-07
13,8192,49152,0.0380814,0.0627472,0.0881891,2.17125e-09,9.39644e-09,2.70145e-08
14,16384,98304,0.0129963,0.0369297,0.0645668,1.63311e-12,7.9219e-11,9.33772e-10
15,17233,103398,0,0,0,0,0,0
