depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.900528,0.900538,0.900538,0.350688,0.350688,0.350688
1,2,20,0.900476,0.900529,0.900538,0.0876528,0.0882763,0.0884166
2,4,40,0.900297,0.900495,0.900528,0.0219304,0.0221393,0.0221978
3,8,80,0.452171,0.900428,0.900475,0.00541683,0.00563237,0.00579053
4,16,160,0.451389,0.900014,0.90041,0.00135823,0.00142219,0.00150301
5,32,320,0.449628,0.456849,0.46167,0.000337594,0.000367186,0.000377662
6,64,640,0.447648,0.456842,0.461525,8.29466e-05,9.10665e-05,9.69913e-05
7,128,1280,0.439859,0.455613,0.460911,2.02918e-05,2.30321e-05,2.52197e-05
8,256,2560,0.22977,0.452255,0.46021,4.77287e-06,5.76089e-06,6.3883e-06
9,512,5120,0.223214,0.441094,0.455862,1.08333e-06,1.41656e-06,1.72207e-06
10,1024,10240,0.216384,0.233464,0.257398,2.14723e-07,3.19805e-07,4.42487e-07
11,2048,20480,0.201994,0.227261,0.250216,3.36645e-08,6.16769e-08,1.04129e-07
12,4096,40960,0.162179,0.214208,0.240944,3.07788e-09,8.54879e-09,1.71467e-08
13,8192,81920,0.0946133,0.182884,0.226666,6.05591e-11,4.15952e-10,1.54213e-09
14,16384,163840,0.0365078,0.0988089,0.179511,6.42766e-16,2.33563e-13,1.11053e-11
15,17233,172330,0,0,0,0,0,0
