run_id,network,dim,N,alpha_target,t,family,rep,dataset_seed,sample_seed,materialize_join
correctness_d2_N500_a1_t20000_F0_rep0,correctness,2,500,1.0,20000,F0,0,320490616807650321,8303948016107338230,1
density_d3_N2000_a10_t20000_F1_rep0,density,3,2000,10.0,20000,F1,0,2966510441266565957,3282816413514948216,0
chunk_d2_N5000_a10_t300000_F0_rep0,chunk,2,5000,10.0,300000,F0,0,244880426146891814,2588246116311596546,0
