depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.999489,0.999646,0.999656,0.997987,0.997987,0.997987
1,2,8,0.750516,0.999353,0.99936,0.249983,0.251248,0.251533
2,4,16,0.49997,0.503557,0.505139,0.0629444,0.0633412,0.0634327
3,8,32,0.375447,0.50444,0.505121,0.0157443,0.0161238,0.016197
4,16,64,0.250117,0.253796,0.255336,0.00392561,0.00404016,0.004055
5,32,128,0.187075,0.252723,0.254258,0.000993226,0.00103035,0.00109229
6,64,256,0.125144,0.129005,0.133835,0.000244977,0.00026619,0.000289871
7,128,512,0.0925047,0.127784,0.131162,6.16638e-05,6.95691e-05,7.85692e-05
8,256,1024,0.0622032,0.0662263,0.0698433,1.49451e-05,1.78621e-05,2.11465e-05
9,512,2048,0.0441599,0.0644485,0.0690987,3.58651e-06,4.59097e-06,5.64702e-06
10,1024,4096,0.0301902,0.0340699,0.0380803,8.16678e-07,1.17284e-06,1.53089e-06
11,2048,8192,0.0204934,0.031916,0.0369003,1.69168e-07,2.85939e-07,4.2851e-07
12,4096,16384,0.0130539,0.0173052,0.0210718,2.79326e-08,6.38232e-08,1.14886e-07
13,8192,32768,0.00721607,0.0137514,0.0188661,2.40732e-09,1.02225e-08,2.53573e-08
14,16384,65536,0.00212654,0.00593123,0.0100529,1.17e-11,3.56087e-10,2.60948e-09
15,17233,68932,0,0,0,0,0,0
