depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,4,0.968924,0.968938,0.968938,0.88137,0.88137,0.88137
1,2,8,0.72664,0.968909,0.968909,0.220297,0.220313,0.220317
2,4,16,0.484412,0.486639,0.487414,0.0550675,0.0556381,0.0557336
3,8,32,0.36408,0.487219,0.487414,0.013589,0.014386,0.0143956
4,16,64,0.241592,0.246852,0.24904,0.00345104,0.00359557,0.00366529
5,32,128,0.181758,0.24496,0.248906,0.000857881,0.000902455,0.000940698
6,64,256,0.120847,0.124194,0.128971,0.000215367,0.000230645,0.000240856
7,128,512,0.0879864,0.12237,0.128794,5.33548e-05,5.92344e-05,6.4633e-05
8,256,1024,0.0599904,0.0637229,0.0678178,1.29013e-05,1.52725e-05,1.82668e-05
9,512,2048,0.0429241,0.062263,0.0672127,3.09916e-06,3.94758e-06,4.73607e-06
10,1024,4096,0.0289137,0.0328953,0.0370115,7.00924e-07,1.01038e-06,1.33473e-06
11,2048,8192,0.0198987,0.0308388,0.0358521,1.44656e-07,2.49138e-07,3.7247e-07
12,4096,16384,0.0124769,0.0164675,0.0204633,2.34946e-08,5.40902e-08,9.58163e-08
13,8192,32768,0.00687626,0.0131838,0.0181353,2.07643e-09,8.46079e-09,2.16489e-08
14,16384,65536,0.00204793,0.00562236,0.00956819,1.11015e-11,3.1375e-10,2.17103e-09
15,17233,68932,0,0,0,0,0,0
