group_size,count
1,12
2,14
3,25
4,42
5,48
6,52
7,61
8,80
9,92
10,84
11,94
12,141
13,140
14,161
15,173
16,156
17,209
18,226
19,216
20,218
21,261
22,253
23,296
24,273
25,328
26,330
27,301
28,342
29,358
30,376
31,365
32,391
33,336
34,405
35,408
36,405
37,448
38,385
39,410
40,414
41,472
42,449
43,430
44,427
45,432
46,389
47,487
48,429
49,418
50,440
51,422
52,467
53,445
54,444
55,456
56,443
57,431
58,430
59,424
60,446
61,404
62,412
63,406
64,430
65,389
66,393
67,383
68,355
69,350
70,386
71,362
72,367
73,321
74,314
75,328
76,318
77,331
78,272
79,297
80,312
81,269
82,266
83,289
84,295
85,279
86,260
87,267
88,253
89,263
90,221
91,241
92,254
93,225
94,203
95,227
96,221
97,223
98,222
99,213
100,222
101,205
102,226
103,209
104,195
105,187
106,174
107,187
108,187
109,186
110,175
111,167
112,177
113,177
114,164
115,155
116,166
117,165
118,152
119,173
120,166
121,148
122,123
123,138
124,131
125,135
126,122
127,139
128,149
129,130
130,135
131,136
132,126
133,123
134,90
135,114
136,124
137,120
138,113
139,115
140,103
141,107
142,97
143,92
144,109
145,104
146,100
147,72
148,89
149,86
150,75
151,80
152,66
153,63
154,70
155,60
156,77
157,62
158,67
159,82
160,70
161,59
162,58
163,54
164,56
165,66
166,57
167,44
168,62
169,60
170,54
171,54
172,58
173,43
174,37
175,60
176,45
177,46
178,31
179,45
180,38
181,28
182,43
183,30
184,33
185,22
186,31
187,26
188,34
189,19
190,26
191,26
192,27
193,24
194,15
195,26
196,16
197,27
198,19
199,25
200,15
201,17
202,22
203,19
204,19
205,22
206,16
207,11
208,6
209,19
210,23
211,12
212,13
213,15
214,14
215,12
216,7
217,14
218,5
219,11
220,8
221,11
222,12
223,3
224,2
225,7
226,6
227,4
228,6
229,5
230,5
231,9
232,1
233,8
234,6
235,6
236,5
237,5
238,5
239,6
240,9
241,7
242,4
243,5
244,4
245,5
246,1
247,3
248,5
249,6
250,3
251,2
252,1
253,3
254,2
255,3
256,1
257,1
258,1
259,5
260,5
261,4
262,2
264,1
265,1
266,2
267,1
268,1
271,1
272,2
273,5
275,1
277,1
278,1
279,3
280,3
281,2
282,1
283,2
284,2
286,3
287,2
288,3
289,1
290,1
292,1
293,2
295,2
296,1
297,1
298,1
299,1
301,1
304,2
305,1
310,2
320,1
323,2
324,1
327,1
332,1
334,1
336,1
348,1
353,1
357,1
406,1
429,1
