depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,10,0.977389,0.982605,0.985781,0.79601,0.79601,0.79601
1,2,20,0.973863,0.978854,0.982092,0.294609,0.336927,0.346449
2,4,40,0.967793,0.977481,0.981965,0.106982,0.136443,0.145966
3,8,80,0.958541,0.976043,0.981584,0.0386597,0.0527438,0.0619108
4,16,160,0.545049,0.971023,0.979528,0.0131311,0.0198628,0.0264767
5,32,320,0.532555,0.960349,0.976722,0.00451928,0.00787641,0.0106638
6,64,640,0.520284,0.930385,0.964922,0.00134805,0.00352652,0.00519429
7,128,1280,0.488258,0.839108,0.949113,0.000439145,0.00103645,0.00251
8,256,2560,0.421068,0.636676,0.913405,0.00012105,0.000301845,0.00063566
9,512,5120,0.32158,0.521917,0.824509,2.34881e-05,6.19213e-05,0.000138485
10,1024,10240,0.273413,0.421654,0.601126,3.10474e-06,9.06865e-06,1.95815e-05
11,2048,20480,0.218406,0.348148,0.542161,1.88444e-07,7.88919e-07,2.48827e-06
12,4096,40960,0.137787,0.258787,0.444236,1.31175e-09,1.51826e-08,1.01008e-07
13,8192,81920,0,0.120475,0.270985,0,1.83735e-12,1.12968e-10
14,3617,36170,0,0,0,0,0,0
