depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.990522,0.992649,0.99277,0.928616,0.928616,0.928616
1,2,16,0.988799,0.991294,0.992594,0.344062,0.412426,0.427808
2,4,32,0.983664,0.989756,0.991407,0.115484,0.17209,0.192897
3,8,64,0.526039,0.986629,0.99121,0.0416212,0.0620724,0.0815048
4,16,128,0.518116,0.9118,0.979009,0.0133406,0.0201196,0.0302609
5,32,256,0.513923,0.848747,0.972312,0.00375565,0.0119252,0.018991
6,64,512,0.473599,0.729761,0.960694,0.00126223,0.00347392,0.00850283
7,128,1024,0.414747,0.545067,0.850421,0.00041025,0.00122758,0.0022919
8,256,2048,0.283681,0.471488,0.628423,0.000112447,0.000318353,0.000615238
9,512,4096,0.274887,0.432121,0.566627,3.13569e-05,9.16061e-05,0.000182258
10,1024,8192,0.255645,0.37036,0.503089,8.12353e-06,2.12143e-05,5.21669e-05
11,2048,16384,0.195786,0.300834,0.446937,1.76737e-06,4.69881e-06,1.27416e-05
12,4096,32768,0.145316,0.234968,0.350694,2.7968e-07,7.76184e-07,1.92875e-06
13,8192,65536,0.116533,0.190195,0.300087,3.17162e-08,1.03782e-07,2.77925e-07
14,16384,131072,0.0786691,0.140475,0.24331,1.09412e-09,5.94333e-09,2.25288e-08
15,32768,262144,0.0293908,0.0831711,0.164801,1.12222e-13,9.49145e-12,2.02698e-10
16,34465,275720,0,0,0,0,0,0
