depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,8,0.950699,0.95083,0.95083,0.666418,0.666418,0.666418
1,2,16,0.949248,0.950107,0.9503,0.164727,0.177882,0.180842
2,4,32,0.725362,0.949859,0.9503,0.0378744,0.0476299,0.0510248
3,8,64,0.487832,0.944699,0.948462,0.00978403,0.0123274,0.0125814
4,16,128,0.466983,0.499376,0.514314,0.00231757,0.00293328,0.00321602
5,32,256,0.445132,0.491668,0.502518,0.00047826,0.000704034,0.000966419
6,64,512,0.330012,0.467226,0.498576,8.82361e-05,0.000146072,0.000191691
7,128,1024,0.222413,0.420845,0.477869,1.18053e-05,2.57655e-05,3.88555e-05
8,256,2048,0.176865,0.239367,0.303101,7.5903e-07,3.1182e-06,8.54419e-06
9,512,4096,0.0956803,0.185451,0.258882,2.82402e-09,6.43758e-08,2.75724e-07
10,977,7816,0,0,0,0,0,0
