depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.923106,0.923109,0.923109,0.618745,0.618745,0.618745
1,2,12,0.923074,0.923108,0.923108,0.15467,0.154943,0.155004
2,4,24,0.462137,0.923009,0.923017,0.0387251,0.0388546,0.0388553
3,8,48,0.461429,0.462773,0.463214,0.00965099,0.00974469,0.00976952
4,16,96,0.460302,0.462517,0.463207,0.00238703,0.00251897,0.0025498
5,32,192,0.234094,0.462174,0.462444,0.000595274,0.000650581,0.000681466
6,64,384,0.2301,0.236475,0.242165,0.000146859,0.000163716,0.00017774
7,128,768,0.225047,0.235907,0.241385,3.61817e-05,4.20067e-05,4.59958e-05
8,256,1536,0.11756,0.232586,0.238907,8.79578e-06,1.09076e-05,1.30749e-05
9,512,3072,0.11289,0.121773,0.131348,2.06559e-06,2.71825e-06,3.50621e-06
10,1024,6144,0.10506,0.119143,0.129157,4.47771e-07,6.69621e-07,9.40921e-07
11,2048,12288,0.0581275,0.111578,0.124008,8.40996e-08,1.51756e-07,2.49385e-07
12,4096,24576,0.0482044,0.0609813,0.073227,1.14351e-08,2.84721e-08,5.49141e-08
13,8192,49152,0.0311256,0.0521192,0.0671248,6.25148e-10,2.9763e-09,8.9766e-09
14,16384,98304,0.00984716,0.0296195,0.0522768,3.80322e-13,3.15539e-11,3.71788e-10
15,17233,103398,0,0,0,0,0,0
