depth,node_count,edge_count,edge_p50,edge_p90,edge_p99,vol_p50,vol_p90,vol_p99
0,1,6,0.938563,0.938641,0.938641,0.683577,0.683577,0.683577
1,2,12,0.937696,0.938633,0.938641,0.170591,0.17483,0.175784
2,4,24,0.475813,0.938112,0.938292,0.0430207,0.044044,0.0443207
3,8,48,0.468837,0.476461,0.479286,0.0106815,0.0111964,0.0113966
4,16,96,0.462115,0.475418,0.479286,0.00267015,0.00281844,0.00288866
5,32,192,0.238536,0.470902,0.4785,0.00064522,0.00072958,0.000764885
6,64,384,0.232771,0.243568,0.258534,0.000158979,0.000185373,0.000205478
7,128,768,0.220428,0.242409,0.255272,3.55165e-05,4.79268e-05,5.55322e-05
8,256,1536,0.118965,0.231591,0.250777,7.70128e-06,1.1094e-05,1.52822e-05
9,512,3072,0.105285,0.124488,0.14556,1.29848e-06,2.41348e-06,3.80141e-06
10,1024,6144,0.0803472,0.113767,0.138789,1.42927e-07,4.21033e-07,8.51844e-07
11,2048,12288,0.040206,0.0848189,0.120084,3.9127e-09,3.13717e-08,1.23771e-07
12,4096,24576,0,0.031109,0.0650003,0,1.10793e-10,3.21772e-09
13,1809,10854,0,0,0,0,0,0
